DataOra	Valore	
03/09/2023 23:45:00	0.00	
03/09/2023 23:30:00	0.00	
03/09/2023 23:15:00	0.00	
03/09/2023 23:00:00	0.00	
03/09/2023 22:45:00	0.00	
03/09/2023 22:30:00	0.00	
03/09/2023 22:15:00	0.00	
03/09/2023 22:00:00	0.00	
03/09/2023 21:45:00	0.00	
03/09/2023 21:30:00	0.00	
03/09/2023 21:15:00	0.00	
03/09/2023 21:00:00	0.00	
03/09/2023 20:45:00	0.00	
03/09/2023 20:30:00	0.00	
03/09/2023 20:15:00	0.00	
03/09/2023 20:00:00	0.00	
03/09/2023 19:45:00	0.00	
03/09/2023 19:30:00	0.00	
03/09/2023 19:15:00	0.00	
03/09/2023 19:00:00	0.00	
03/09/2023 18:45:00	0.00	
03/09/2023 18:30:00	0.00	
03/09/2023 18:15:00	0.00	
03/09/2023 18:00:00	0.00	
03/09/2023 17:45:00	0.00	
03/09/2023 17:30:00	0.00	
03/09/2023 17:15:00	10.58	
03/09/2023 17:00:00	10.58	
03/09/2023 16:45:00	10.58	
03/09/2023 16:30:00	4.42	
03/09/2023 16:15:00	4.42	
03/09/2023 16:00:00	4.42	
03/09/2023 15:45:00	4.42	
03/09/2023 15:30:00	4.42	
03/09/2023 15:15:00	4.42	
03/09/2023 15:00:00	4.42	
03/09/2023 14:45:00	4.42	
03/09/2023 14:30:00	4.42	
03/09/2023 14:15:00	4.42	
03/09/2023 14:00:00	4.42	
03/09/2023 13:45:00	4.42	
03/09/2023 13:30:00	4.42	
03/09/2023 13:15:00	4.42	
03/09/2023 13:00:00	4.42	
03/09/2023 12:45:00	4.42	
03/09/2023 12:30:00	4.42	
03/09/2023 12:15:00	4.42	
03/09/2023 12:00:00	4.42	
03/09/2023 11:45:00	4.42	
03/09/2023 11:30:00	4.42	
03/09/2023 11:15:00	-2.84	
03/09/2023 11:00:00	-2.84	
03/09/2023 10:45:00	-2.84	
03/09/2023 10:30:00	-2.84	
03/09/2023 10:15:00	-2.84	
03/09/2023 10:00:00	-2.84	
03/09/2023 09:45:00	-2.84	
03/09/2023 09:30:00	-2.84	
03/09/2023 09:15:00	-2.84	
03/09/2023 09:00:00	-2.84	
03/09/2023 08:45:00	-2.84	
03/09/2023 08:30:00	-2.84	
03/09/2023 08:15:00	-2.84	
03/09/2023 08:00:00	-2.84	
03/09/2023 07:45:00	-2.84	
03/09/2023 07:30:00	-2.84	
03/09/2023 07:15:00	-2.84	
03/09/2023 07:00:00	0.00	
03/09/2023 06:45:00	8.67	
03/09/2023 06:30:00	8.67	
03/09/2023 06:15:00	-7.58	
03/09/2023 06:00:00	-7.58	
03/09/2023 05:45:00	-7.58	
03/09/2023 05:30:00	-7.58	
