ID_M;ID_C;P;Ev /%;Eq /%;KA;Durata /s ;V_REF / m/s ;Q_Ref;s(Q_Ref);P_liq_M / MPa;P_liq_V / MPa;V_REF / dm3;P_REF / kg;V_Test / dm3;Np_Ref;Np_Ref_A;Np_Test;Vp_Ref / dm3;Vp_Test /dm3;V_test / m/s;Q_Test / m3/h;s(Q_Test);start_time;stop_time;T_tcb /s;T_tbc /s;T_Air_s /°C;T_Air_f /°C;T_Air_M /°C;T_Liq_s /°C;T_Liq_f /°C;T_Liq_M /°C;P_Air_s  /mbar;P_Air_f  /mbar;REF_Q;S_ErrC2;S_flag;SE_flag;C_MxA /dm3;C_Mx  /dm3;C_B_F  /kg;C_B_S  /kg;P_B_F  / kg;P_B_S /kg;T_V;T_M;REF_M;PSel;ERR_Code;S_ErrC1;mA/ V / hz;s(T_liq);REF;
125469;9879;1;0,640569;0;0,6561;120;5,97322;379,262;0,214124;0,1091;0,0523;12645;0;12726;12645;12827;6363;1;2;0;381,78;0;31/07/1990 02:21:58;31/07/1990 02:23:59;0;0;22,265;22,169;22,217;18;18;18;0;0;1;10001;4;0;0;0;0,0243156;-0,00287328;274,48;203,24;0;0;1;1;0;10022;0;0;2025.R7K00183.R7K00183;
125470;9879;1;0,686607;0;0,6561;120;5,97322;380,077;0,220493;0,1102;0,0526;12671;0;12758;12671;12851;6379;1;2;0;382,74;0;31/07/1990 02:24:05;31/07/1990 02:26:06;0;0;22,18;22,181;22,18;18;18;18;0;0;1;10001;4;0;0;0;0,0243156;-0,00287328;274,48;203,24;0;0;1;1;0;10022;0;0;2025.R7K00183.R7K00183;
125471;9879;1;-0,00789328;0;0,6518;120;5,97322;380,041;0,209303;0,1088;0,0513;12669;0;12668;12669;12844;6334;1;2;0;380,04;0;31/07/1990 02:28:05;31/07/1990 02:30:06;0;0;22,141;22,214;22,178;18,125;18,125;18,125;0;0;1;10002;8;0;0;0;0,0243156;-0,00287328;274,48;203,24;0;0;1;1;0;10022;0;0;2025.R7K00183.R7K00183;
125472;9879;1;-0,0157828;0;0,6518;120;5,97322;380,077;0,158945;0,1101;0,0507;12672;0;12670;12672;12852;6335;1;2;0;380,1;0;31/07/1990 02:30:11;31/07/1990 02:32:12;0;0;22,2;22,169;22,184;18,125;18,25;18,188;0;0;1;10002;8;0;0;0;0,0243156;-0,00287328;274,48;203,24;0;0;1;1;0;10022;0;0;2025.R7K00183.R7K00183;
125473;9879;2;-0,599597;0;0,6518;250;0,167675;10,6529;0,0231418;0,0415;0,0229;739,786;738,173;735,35;29606;0;14707;0,025;0,05;0;10,589;0;31/07/1990 02:35:58;31/07/1990 02:40:13;0,083769;0,092964;22,342;22,283;22,312;18,25;18,25;18,25;0;0;4;0;0;0;0;0;-0,201166;-0,0280289;1273,6;535,6;0;0;5;3;0;10022;0;0;2025.R7K00183.R7K00183;
125474;9879;2;-0,0602438;0;0,6518;250;0,167675;10,6574;0,0203212;0,0415;0,0236;740,096;738,491;739,65;29607;0;14793;0,025;0,05;0;10,651;0;31/07/1990 02:40:24;31/07/1990 02:44:40;0,075281;0,09304;22,277;22,218;22,248;18,25;18,125;18,188;0;0;4;0;0;0;0;0;-0,292257;-0,201166;2012;1273,6;0;0;5;3;0;10022;0;0;2025.R7K00183.R7K00183;
125475;9879;2;-0,25457;0;0,6518;250;0,167675;10,6572;0,032296;0,0415;0,0245;740,084;738,488;738,2;29605;0;14764;0,025;0,05;0;10,6301;0;31/07/1990 02:44:50;31/07/1990 02:49:06;0,083577;0,094028;22,229;22,266;22,248;18,125;18,125;18,125;0;0;4;0;0;0;0;0;-0,180147;-0,292257;2750,6;2012;0;0;5;3;0;10996;0;0;2025.R7K00183.R7K00183;
125476;9879;3;-0,470281;0;0,6518;220;0,104799;6,66155;0,0515815;0,0229;0,0127;407,094;406,212;405,18;27134;0;13506;0,015;0,03;0;6,63022;0;31/07/1990 02:54:18;31/07/1990 02:58:04;0,070137;0,079548;22,253;22,297;22,275;18,25;18,125;18,188;0;0;4;0;0;0;0;0;0,0455694;-0,00262658;461,68;55,42;0;0;6;3;0;10022;0;0;2025.R7K00183.R7K00183;
125477;9879;3;-0,532198;0;0,6518;220;0,104799;6,66076;0,0332029;0,0229;0,0137;407,046;406,173;404,88;27132;0;13496;0,015;0,03;0;6,62531;0;31/07/1990 02:59:31;31/07/1990 03:03:17;0,072817;0,078219;22,304;22,47;22,387;18,125;18;18,062;0;0;4;0;0;0;0;0;0,043901;-0,00285922;459,14;52,92;0;0;6;3;0;10022;0;0;2025.R7K00183.R7K00183;
125478;9879;4;-0,614529;0;0,6518;250;0,0528159;3,35885;0,0696305;0,0387;0,0225;233,253;232,753;231,82;23325;0;11591;0,01;0,02;0;3,33821;0;31/07/1990 03:06:46;31/07/1990 03:11:02;0,073357;0,075545;22,487;22,512;22,5;18;18,125;18,062;0;0;4;0;0;0;0;0;0,0238817;-0,00299848;284,06;51,28;0;0;6;3;0;10022;0;0;2025.R7K00183.R7K00183;
125479;9879;4;-0,16866;0;0,6518;250;0,0528159;3,35856;0,0829088;0,0387;0,0223;233,233;232,733;232,84;23325;0;11642;0,01;0,02;0;3,3529;0;31/07/1990 03:12:26;31/07/1990 03:16:43;0,074248;0,075282;22,53;22,478;22,504;18,125;18;18,062;0;0;4;0;0;0;0;0;0,0238786;-0,00299194;284,12;51,36;0;0;6;3;0;10022;0;0;2025.R7K00183.R7K00183;
125480;9879;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;01/01/1990 00:00:00;01/01/1990 00:00:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2025.R7K00183.R7K00183;
