ID_M;ID_C;P;Ev /%;Eq /%;KA;Durata /s ;V_REF / m/s ;Q_Ref;s(Q_Ref);P_liq_M / MPa;P_liq_V / MPa;V_REF / dm3;P_REF / kg;V_Test / dm3;Np_Ref;Np_Ref_A;Np_Test;Vp_Ref / dm3;Vp_Test /dm3;V_test / m/s;Q_Test / m3/h;s(Q_Test);start_time;stop_time;T_tcb /s;T_tbc /s;T_Air_s /°C;T_Air_f /°C;T_Air_M /°C;T_Liq_s /°C;T_Liq_f /°C;T_Liq_M /°C;P_Air_s  /mbar;P_Air_f  /mbar;REF_Q;S_ErrC2;S_flag;SE_flag;C_MxA /dm3;C_Mx  /dm3;C_B_F  /kg;C_B_S  /kg;P_B_F  / kg;P_B_S /kg;T_V;T_M;REF_M;PSel;ERR_Code;S_ErrC1;mA/ V / hz;s(T_liq);REF;
124525;9811;1;-0,338295;n.a;0,6482;120;3,1438;199,419;0,244359;0,0623;0,0539;6651;0;6628,5;14780;14989;7365;0,45;0,9;0;198,855;0;06/07/1990 02:17:03;06/07/1990 02:19:04;0;0;20,4;20,308;20,354;18,25;18,25;18,25;0;0;1;10001;4;0;0;0;0,0357044;0,00384161;49,878;6,03;0;0;1;1;0;10022;0;0;2025.R7K00183.R7K00183;
124526;9811;1;-0,310394;n.a;0,6482;120;3,1438;199,974;0,105186;0,0622;0,0544;6669;0;6648,3;14820;15030;7387;0,45;0,9;0;199,449;0;06/07/1990 02:19:09;06/07/1990 02:21:10;0;0;20,306;20,381;20,344;18,25;18,25;18,25;0;0;1;10001;4;0;0;0;0,0357044;0,00384161;49,878;6,03;0;0;1;1;0;10022;0;0;2025.R7K00183.R7K00183;
124527;9811;1;-0,283438;n.a;0,6482;120;3,1438;199,957;0,141021;0,0628;0,0544;6668,1;0;6649,2;14818;15034;7388;0,45;0,9;0;199,476;0;06/07/1990 02:21:15;06/07/1990 02:23:16;0;0;20,392;20,262;20,327;18,25;18,25;18,25;0;0;1;10001;4;0;0;0;0,0357044;0,00384161;49,878;6,03;0;0;1;1;0;10022;0;0;2025.R7K00183.R7K00183;
124528;9811;2;-0,379147;n.a;0,6482;120;5,97322;379,687;0,189935;0,0991;0,0708;12660;0;12612;12660;12835;6306;1;2;0;378,36;0;06/07/1990 02:26:43;06/07/1990 02:28:44;0;0;20,399;20,446;20,422;18,375;18,375;18,375;0;0;1;0;0;0;0;0;0,0357044;0,00384161;49,878;6,03;0;0;1;1;0;10022;0;0;2025.R7K00183.R7K00183;
124529;9811;2;-0,36312;n.a;0,6482;120;5,97322;379,979;0,176098;0,0995;0,0707;12668;0;12622;12668;12843;6311;1;2;0;378,66;0;06/07/1990 02:28:49;06/07/1990 02:30:50;0;0;20,446;20,485;20,466;18,375;18,375;18,375;0;0;1;0;0;0;0;0;0,0357044;0,00384161;49,878;6,03;0;0;1;1;0;10022;0;0;2025.R7K00183.R7K00183;
124530;9811;2;-0,299968;n.a;0,6482;120;5,97322;379,966;0,181551;0,0971;0,0693;12668;0;12630;12668;12844;6315;1;2;0;378,9;0;06/07/1990 02:30:55;06/07/1990 02:32:56;0;0;20,497;20,383;20,44;18,375;18,5;18,438;0;0;1;0;0;0;0;0;0,0357044;0,00384161;49,878;6,03;0;0;1;1;0;10022;0;0;2025.R7K00183.R7K00183;
124531;9811;3;-0,219626;n.a;0,6482;200;0,62876;41,1628;0,447992;0,0631;0,0623;2286,82;2281,73;2281,8;22867;22871;11409;0,1;0,2;0;41,0724;0;06/07/1990 02:37:16;06/07/1990 02:40:42;0,084261;0,09448;20,461;20,497;20,479;18,5;18,5;18,5;0;0;2;0;0;0;0;0;-0,15834;-0,0289545;2822,2;540,6;0;0;5;3;0;10022;0;0;2025.R7K00183.R7K00183;
124532;9811;3;-0,333262;n.a;0,6482;200;0,62876;41,1772;0,270925;0,0629;0,0618;2287,62;2282,53;2280;22868;22880;11400;0,1;0,2;0;41,04;0;06/07/1990 02:41:45;06/07/1990 02:45:12;0,082234;0,094786;20,467;20,448;20,458;18,5;18,5;18,5;0;0;2;0;0;0;0;0;-0,157834;-0,0291034;2823,8;541,4;0;0;5;3;0;10022;0;0;2025.R7K00183.R7K00183;
124533;9811;3;-0,333233;n.a;0,6482;200;0,62876;41,1953;0,274586;0,0616;0,0614;2288,63;2283,53;2281;22875;22891;11405;0,1;0,2;0;41,058;0;06/07/1990 02:46:15;06/07/1990 02:49:41;0,086123;0,094239;20,425;20,421;20,423;18,5;18,5;18,5;0;0;2;0;0;0;0;0;-0,157897;-0,0288802;2823,6;540,2;0;0;5;3;0;10022;0;0;2025.R7K00183.R7K00183;
124534;9811;4;-0,66692;n.a;0,6482;200;0,16505;10,4902;0,01967;0,0448;0,0446;582,787;581,537;578,9;23316;0;11578;0,025;0,05;0;10,4202;0;06/07/1990 03:18:51;06/07/1990 03:22:17;0,086437;0,093355;20,555;20,715;20,635;18,125;18;18,062;0;0;4;0;0;0;0;0;-0,165595;-0,0289545;1122;540,6;0;0;5;3;0;10022;0;0;2025.R7K00183.R7K00183;
