DataOra	Valore	
10/09/2023 20:15:00	0.00	
10/09/2023 20:00:00	0.00	
10/09/2023 19:45:00	9.54	
10/09/2023 19:30:00	0.00	
10/09/2023 19:15:00	0.00	
10/09/2023 19:00:00	0.00	
10/09/2023 18:45:00	0.00	
10/09/2023 18:30:00	4.99	
10/09/2023 18:15:00	4.99	
10/09/2023 18:00:00	7.14	
10/09/2023 17:45:00	7.14	
10/09/2023 17:30:00	5.74	
10/09/2023 17:15:00	0.00	
10/09/2023 17:00:00	0.00	
10/09/2023 16:45:00	0.00	
10/09/2023 16:30:00	0.00	
10/09/2023 16:15:00	0.00	
10/09/2023 16:00:00	1.59	
10/09/2023 15:45:00	0.77	
10/09/2023 15:30:00	0.00	
10/09/2023 15:15:00	-0.75	
10/09/2023 15:00:00	1.51	
10/09/2023 14:45:00	-1.00	
10/09/2023 14:30:00	-2.13	
10/09/2023 14:15:00	-2.13	
10/09/2023 14:00:00	0.00	
10/09/2023 13:45:00	0.00	
10/09/2023 13:30:00	0.00	
10/09/2023 13:15:00	0.00	
10/09/2023 13:00:00	-8.63	
10/09/2023 12:45:00	-8.63	
10/09/2023 12:30:00	4.41	
10/09/2023 12:15:00	2.63	
10/09/2023 12:00:00	2.63	
10/09/2023 11:45:00	15.13	
10/09/2023 11:30:00	0.00	
10/09/2023 11:15:00	6.17	
10/09/2023 11:00:00	6.17	
10/09/2023 10:45:00	3.59	
10/09/2023 10:30:00	0.00	
10/09/2023 10:15:00	0.00	
10/09/2023 10:00:00	0.00	
10/09/2023 09:45:00	0.64	
10/09/2023 09:30:00	0.00	
10/09/2023 09:15:00	0.00	
10/09/2023 09:00:00	11.10	
10/09/2023 08:45:00	0.00	
10/09/2023 08:30:00	-6.02	
10/09/2023 08:15:00	9.69	
10/09/2023 08:00:00	2.59	
10/09/2023 07:45:00	0.00	
10/09/2023 07:30:00	12.61	
10/09/2023 07:15:00	12.61	
10/09/2023 07:00:00	0.00	
10/09/2023 06:45:00	1.59	
10/09/2023 06:30:00	-5.08	
10/09/2023 06:15:00	-5.08	
10/09/2023 06:00:00	-1.86	
10/09/2023 05:45:00	-1.88	
10/09/2023 05:30:00	-1.88	
10/09/2023 05:15:00	-6.55	
10/09/2023 05:00:00	-5.56	
10/09/2023 04:45:00	-5.56	
10/09/2023 04:30:00	1.74	
10/09/2023 04:15:00	-2.79	
10/09/2023 04:00:00	-8.71	
10/09/2023 03:45:00	-8.71	
10/09/2023 03:30:00	-6.57	
10/09/2023 03:15:00	-4.15	
10/09/2023 03:00:00	-4.15	
10/09/2023 02:45:00	-14.94	
