DataOra	Valore	
10/09/2023 23:30:00	29.15	
10/09/2023 23:15:00	24.72	
10/09/2023 23:00:00	12.81	
10/09/2023 22:45:00	12.66	
10/09/2023 22:30:00	15.26	
10/09/2023 22:15:00	14.39	
10/09/2023 22:00:00	14.53	
10/09/2023 21:45:00	27.41	
10/09/2023 21:30:00	27.80	
10/09/2023 21:15:00	29.59	
10/09/2023 21:00:00	28.81	
10/09/2023 20:45:00	27.82	
10/09/2023 20:30:00	28.78	
10/09/2023 20:15:00	28.91	
10/09/2023 20:00:00	28.48	
10/09/2023 19:45:00	17.10	
10/09/2023 19:30:00	15.79	
10/09/2023 19:15:00	16.06	
10/09/2023 19:00:00	13.60	
10/09/2023 18:45:00	18.73	
10/09/2023 18:30:00	21.73	
10/09/2023 18:15:00	31.10	
10/09/2023 18:00:00	31.08	
10/09/2023 17:45:00	30.67	
10/09/2023 17:30:00	28.36	
10/09/2023 17:15:00	27.38	
10/09/2023 17:00:00	28.82	
10/09/2023 16:45:00	28.55	
10/09/2023 16:30:00	14.61	
10/09/2023 16:15:00	15.66	
10/09/2023 16:00:00	14.13	
10/09/2023 15:45:00	16.33	
10/09/2023 15:30:00	14.49	
10/09/2023 15:15:00	14.32	
10/09/2023 15:00:00	15.10	
10/09/2023 14:45:00	28.38	
10/09/2023 14:30:00	28.49	
10/09/2023 14:15:00	28.13	
10/09/2023 14:00:00	28.54	
10/09/2023 13:45:00	29.26	
10/09/2023 13:30:00	29.31	
10/09/2023 13:15:00	27.54	
10/09/2023 13:00:00	26.49	
10/09/2023 12:45:00	13.45	
10/09/2023 12:30:00	15.18	
10/09/2023 12:15:00	14.69	
10/09/2023 12:00:00	16.14	
10/09/2023 11:45:00	27.25	
10/09/2023 11:30:00	28.06	
10/09/2023 11:15:00	27.73	
10/09/2023 11:00:00	29.83	
10/09/2023 10:45:00	30.89	
10/09/2023 10:30:00	28.94	
10/09/2023 10:15:00	27.81	
10/09/2023 10:00:00	27.25	
10/09/2023 09:45:00	16.01	
10/09/2023 09:30:00	16.47	
10/09/2023 09:15:00	28.85	
10/09/2023 09:00:00	28.24	
10/09/2023 08:45:00	28.06	
10/09/2023 08:30:00	28.85	
10/09/2023 08:15:00	28.38	
10/09/2023 08:00:00	26.99	
10/09/2023 07:45:00	28.23	
10/09/2023 07:30:00	28.32	
10/09/2023 07:15:00	15.70	
10/09/2023 07:00:00	14.04	
10/09/2023 06:45:00	11.60	
10/09/2023 06:30:00	10.88	
10/09/2023 06:15:00	10.80	
10/09/2023 06:00:00	10.79	
10/09/2023 05:45:00	11.54	
10/09/2023 05:30:00	11.19	
10/09/2023 05:15:00	11.25	
10/09/2023 05:00:00	28.80	
10/09/2023 04:45:00	29.18	
10/09/2023 04:30:00	29.49	
10/09/2023 04:15:00	29.21	
10/09/2023 04:00:00	28.58	
10/09/2023 03:45:00	12.86	
10/09/2023 03:30:00	13.12	
10/09/2023 03:15:00	13.78	
