ID_M;ID_C;P;Ev /%;Eq /%;KA;Durata /s ;V_REF / m/s ;Q_Ref;s(Q_Ref);P_liq_M / MPa;P_liq_V / MPa;V_REF / dm3;P_REF / kg;V_Test / dm3;Np_Ref;Np_Ref_A;Np_Test;Vp_Ref / dm3;Vp_Test /dm3;V_test / m/s;Q_Test / m3/h;s(Q_Test);start_time;stop_time;T_tcb /s;T_tbc /s;T_Air_s /°C;T_Air_f /°C;T_Air_M /°C;T_Liq_s /°C;T_Liq_f /°C;T_Liq_M /°C;P_Air_s  /mbar;P_Air_f  /mbar;REF_Q;S_ErrC2;S_flag;SE_flag;C_MxA /dm3;C_Mx  /dm3;C_B_F  /kg;C_B_S  /kg;P_B_F  / kg;P_B_S /kg;T_V;T_M;REF_M;PSel;ERR_Code;S_ErrC1;mA/ V / hz;s(T_liq);REF;
125513;9883;1;-0,0711969;n.a;0,635;120;5,97322;379,358;0,240917;0,1025;0,0202;12641;0;12632;12641;12816;6316;1;2;0;378,96;0;31/07/1990 07:36:28;31/07/1990 07:38:29;0;0;23,565;23,434;23,5;17,625;17,75;17,688;0;0;1;10001;4;0;0;0;0,0238796;-0,00299521;284,1;32,02;0;0;1;1;0;10022;0;0;2025.R7K00187.R7K00187;
125514;9883;1;-0,047341;n.a;0,635;120;5,97322;380,007;0,173261;0,1048;0,0177;12674;0;12668;12674;12852;6334;1;2;0;380,04;0;31/07/1990 07:38:34;31/07/1990 07:40:35;0;0;23,313;23,445;23,379;17,75;17,75;17,75;0;0;1;10001;4;0;0;0;0,0238796;-0,00299521;284,1;32,02;0;0;1;1;0;10022;0;0;2025.R7K00187.R7K00187;
125515;9883;2;-0,173636;n.a;0,635;250;0,167675;10,6551;0,0274448;0,0413;0,0083;739,935;738,373;738,65;29604;0;14773;0,025;0,05;0;10,6366;0;31/07/1990 07:45:06;31/07/1990 07:49:22;0,084462;0,092974;23,41;23,395;23,402;17,875;17,875;17,875;0;0;4;0;0;0;0;0;-0,203303;-0,0297757;1283,2;545;0;0;5;3;0;10022;0;0;2025.R7K00187.R7K00187;
125516;9883;2;-0,228654;n.a;0,635;250;0,167675;10,6566;0,0232446;0,0411;0,0081;740,042;738,489;738,35;29605;0;14767;0,025;0,05;0;10,6322;0;31/07/1990 07:49:33;31/07/1990 07:53:49;0,081147;0,094026;23,389;23,455;23,422;17,875;17,75;17,812;0;0;4;0;0;0;0;0;-0,292201;-0,203303;2021,6;1283,2;0;0;5;3;0;10022;0;0;2025.R7K00187.R7K00187;
125517;9883;3;-0,317148;n.a;0,635;220;0,104799;6,66067;0,0446064;0,0226;0,0044;407,041;406,191;405,75;27130;0;13525;0,015;0,03;0;6,63954;0;31/07/1990 08:01:16;31/07/1990 08:05:02;0,069827;0,078956;23,345;23,41;23,378;17,75;17,75;17,75;0;0;4;0;0;0;0;0;0,0461378;-0,00254105;462,52;56,28;0;0;6;3;0;10022;0;0;2025.R7K00187.R7K00187;
125518;9883;3;-0,103941;n.a;0,635;220;0,104799;6,66857;0,321254;0,0268;0,0061;407,524;406,673;407,1;27170;0;13570;0,015;0,03;0;6,66164;0;31/07/1990 08:06:30;31/07/1990 08:10:16;0,072304;0,0791;23,389;23,323;23,356;17,75;17,75;17,75;0;0;4;0;0;0;0;0;0,0441589;-0,00286802;459,54;52,82;0;0;6;3;0;10022;0;0;2025.R7K00187.R7K00187;
125519;9883;4;-0,325827;n.a;0,635;250;0,0528159;3,35894;0,0787647;0,0398;0,0104;233,26;232,773;232,5;23322;0;11625;0,01;0,02;0;3,348;0;31/07/1990 08:13:38;31/07/1990 08:17:54;0,072869;0,075469;23,45;23,25;23,35;17,75;17,75;17,75;0;0;4;0;0;0;0;0;0,0238796;-0,00299685;284,1;51,3;0;0;6;3;0;10022;0;0;2025.R7K00187.R7K00187;
125520;9883;4;-0,410409;n.a;0,635;250;0,0528159;3,35948;0,0777676;0,0397;0,01;233,297;232,813;232,34;23323;0;11617;0,01;0,02;0;3,3457;0;31/07/1990 08:19:18;31/07/1990 08:23:35;0,073698;0,075648;23,289;23,309;23,299;17,75;17,625;17,688;0;0;4;0;0;0;0;0;0,0238766;-0,00299521;284,16;51,32;0;0;6;3;0;10022;0;0;2025.R7K00187.R7K00187;
