ID_M;ID_C;P;Ev /%;Eq /%;KA;Durata /s ;V_REF / m/s ;Q_Ref;s(Q_Ref);P_liq_M / MPa;P_liq_V / MPa;V_REF / dm3;P_REF / kg;V_Test / dm3;Np_Ref;Np_Ref_A;Np_Test;Vp_Ref / dm3;Vp_Test /dm3;V_test / m/s;Q_Test / m3/h;s(Q_Test);start_time;stop_time;T_tcb /s;T_tbc /s;T_Air_s /°C;T_Air_f /°C;T_Air_M /°C;T_Liq_s /°C;T_Liq_f /°C;T_Liq_M /°C;P_Air_s  /mbar;P_Air_f  /mbar;REF_Q;S_ErrC2;S_flag;SE_flag;C_MxA /dm3;C_Mx  /dm3;C_B_F  /kg;C_B_S  /kg;P_B_F  / kg;P_B_S /kg;T_V;T_M;REF_M;PSel;ERR_Code;S_ErrC1;mA/ V / hz;s(T_liq);REF;
125115;9850;1;0,0315756;n.a;0,6313;120;5,97322;379,961;0,213632;0,0962;0,0698;12668;0;12672;12668;12844;6336;1;2;0;380,16;0;18/07/1990 02:04:44;18/07/1990 02:06:45;0;0;19,08;19,017;19,048;19;19,125;19,062;0;0;1;10002;8;0;0,880161;0,884254;0,0439653;-0,00288375;459,24;25,62;0;0;1;1;0;10022;0;0;2025.R7K00187.R7K00187;
125116;9850;1;0,0789515;n.a;0,6313;120;5,97322;379,889;0,159376;0,0961;0,0703;12666;0;12676;12666;12844;6338;1;2;0;380,28;0;18/07/1990 02:06:50;18/07/1990 02:08:51;0;0;19,01;19,046;19,028;19,125;19,125;19,125;0;0;1;10002;8;0;0,880161;0,884254;0,0439653;-0,00288375;459,24;25,62;0;0;1;1;0;10022;0;0;2025.R7K00187.R7K00187;
125117;9850;1;0,0157853;n.a;0,6313;120;5,97322;380,054;0,200222;0,0977;0,0711;12670;0;12672;12670;12845;6336;1;2;0;380,16;0;18/07/1990 02:08:56;18/07/1990 02:10:57;0;0;19,033;19,027;19,03;19,125;19,125;19,125;0;0;1;10002;8;0;0,880161;0,884254;0,0439653;-0,00288375;459,24;25,62;0;0;1;1;0;10022;0;0;2025.R7K00187.R7K00187;
125118;9850;2;0,128183;n.a;0,6313;250;0,16767;10,6546;0,0208998;0,0444;0,0442;739,902;738,173;740,85;29609;0;14817;0,025;0,05;0;10,6682;0;18/07/1990 02:14:17;18/07/1990 02:18:33;0,083974;0,092475;19,005;19,006;19,006;19,125;19;19,062;0;0;4;0;0;0;0,880161;0,884254;-0,201702;-0,0284722;1276;538;0;0;5;3;0;10022;0;0;2025.R7K00187.R7K00187;
125119;9850;2;0,109076;n.a;0,6313;250;0,16767;10,6588;0,0256815;0,0445;0,0443;740,193;738,491;741;29610;0;14820;0,025;0,05;0;10,6704;0;18/07/1990 02:18:43;18/07/1990 02:22:59;0,080618;0,092213;19,12;19,057;19,088;18,875;18,875;18,875;0;0;4;0;0;0;0,880161;0,884254;-0,292246;-0,201702;2014,4;1276;0;0;5;3;0;10022;0;0;2025.R7K00187.R7K00187;
125120;9850;2;0,4014;n.a;0,6313;250;0,16767;10,6557;0,0260592;0,0445;0,0442;739,98;738,287;742,95;29611;0;14859;0,025;0,05;0;10,6985;0;18/07/1990 02:23:09;18/07/1990 02:27:26;0,084384;0,092294;19,081;19,237;19,159;18,875;18,75;18,812;0;0;4;0;0;0;0,880161;0,884254;-0,179502;-0,292246;2752,8;2014,4;0;0;5;3;0;10022;0;0;2025.R7K00187.R7K00187;
125121;9850;3;0,186705;n.a;0,6313;220;0,104793;6,66294;0,105075;0,0428;0,0425;407,18;406,253;407,94;27137;0;13598;0,015;0,03;0;6,67538;0;18/07/1990 02:31:22;18/07/1990 02:35:08;0,070997;0,077954;19,133;19,01;19,072;18,75;18,75;18,75;0;0;4;0;0;0;0,880161;0,884254;0,0437728;-0,00288375;458,94;52,64;0;0;6;3;0;10022;0;0;2025.R7K00187.R7K00187;
125122;9850;3;0,52682;n.a;0,6313;220;0,104793;6,66286;0,0396971;0,0429;0,0426;407,175;406,253;409,32;27139;0;13644;0,015;0,03;0;6,69796;0;18/07/1990 02:36:41;18/07/1990 02:40:27;0,075815;0,076165;19,017;19,051;19,034;18,75;18,625;18,688;0;0;4;0;0;0;0,880161;0,884254;0,0437728;-0,00288375;458,94;52,64;0;0;6;3;0;10022;0;0;2025.R7K00187.R7K00187;
125123;9850;3;0,702218;n.a;0,6313;220;0,104793;6,66442;0,245001;0,0429;0,0427;407,27;406,353;410,13;27157;0;13671;0,015;0,03;0;6,71122;0;18/07/1990 02:41:59;18/07/1990 02:45:45;0,075739;0,077422;19,012;19,042;19,027;18,625;18,625;18,625;0;0;4;0;0;0;0,880161;0,884254;0,0437856;-0,00289071;458,96;52,56;0;0;6;3;0;10022;0;0;2025.R7K00187.R7K00187;
