ID_M;ID_C;P;Ev /%;Eq /%;KA;Durata /s ;V_REF / m/s ;Q_Ref;s(Q_Ref);P_liq_M / MPa;P_liq_V / MPa;V_REF / dm3;P_REF / kg;V_Test / dm3;Np_Ref;Np_Ref_A;Np_Test;Vp_Ref / dm3;Vp_Test /dm3;V_test / m/s;Q_Test / m3/h;s(Q_Test);start_time;stop_time;T_tcb /s;T_tbc /s;T_Air_s /°C;T_Air_f /°C;T_Air_M /°C;T_Liq_s /°C;T_Liq_f /°C;T_Liq_M /°C;P_Air_s  /mbar;P_Air_f  /mbar;REF_Q;S_ErrC2;S_flag;SE_flag;C_MxA /dm3;C_Mx  /dm3;C_B_F  /kg;C_B_S  /kg;P_B_F  / kg;P_B_S /kg;T_V;T_M;REF_M;PSel;ERR_Code;S_ErrC1;mA/ V / hz;s(T_liq);REF;
125531;9885;1;-6,61596;0;0,6;120;5,97322;379,523;0,263419;0,1071;0,0305;12621;0;11786;12621;12836;5893;1;2;0;353,58;0;01/08/1990 02:07:22;01/08/1990 02:09:23;0;0;23,059;23,009;23,034;18,875;19;18,938;0;0;1;10001;4;0;0;0;0,0238796;-0,00299194;284,1;2,4;0;0;1;1;0;10022;0;0;2025.R7K00273.R7K00273;
125532;9885;1;-6,91397;0;0,6;120;5,97322;380,076;0,170705;0,1073;0,0299;12670;0;11794;12670;12852;5897;1;2;0;353,82;0;01/08/1990 02:09:28;01/08/1990 02:11:29;0;0;22,881;23,085;22,983;19;19;19;0;0;1;10001;4;0;0;0;0,0238796;-0,00299194;284,1;2,4;0;0;1;1;0;10022;0;0;2025.R7K00273.R7K00273;
125533;9885;1;-7,068;0;0,6;120;5,97322;379,85;0,190139;0,1082;0,0323;12691;0;11794;12691;12849;5897;1;2;0;353,82;0;01/08/1990 02:11:34;01/08/1990 02:13:35;0;0;23,074;23,118;23,096;19;19;19;0;0;1;10001;4;0;0;0;0,0238796;-0,00299194;284,1;2,4;0;0;1;1;0;10022;0;0;2025.R7K00273.R7K00273;
125534;9885;1;0,142473;0;0,6442;120;5,97322;379,808;0,169498;0,1079;0,0307;12634;0;12652;12634;12849;6326;1;2;0;379,56;0;01/08/1990 02:14:11;01/08/1990 02:16:12;0;0;23,024;23,003;23,014;19,125;19,25;19,188;0;0;1;10002;8;0;0;0;0,0238796;-0,00299194;284,1;2,4;0;0;1;1;0;10022;0;0;2025.R7K00273.R7K00273;
125535;9885;1;-0,0709947;0;0,6442;120;5,97322;380,101;0,188541;0,1092;0,0629;12677;0;12668;12677;12859;6334;1;2;0;380,04;0;01/08/1990 02:16:17;01/08/1990 02:18:18;0;0;23,025;23,07;23,048;19,25;19,25;19,25;0;0;1;10002;8;0;0;0;0,0238796;-0,00299194;284,1;2,4;0;0;1;1;0;10022;0;0;2025.R7K00273.R7K00273;
125536;9885;1;-0,252207;0;0,6442;120;5,97322;380,051;0,186715;0,1086;0,0282;12688;0;12656;12688;12852;6328;1;2;0;379,68;0;01/08/1990 02:18:23;01/08/1990 02:20:24;0;0;23,074;23,084;23,079;19,25;19,25;19,25;0;0;1;10002;8;0;0;0;0,0238796;-0,00299194;284,1;2,4;0;0;1;1;0;10022;0;0;2025.R7K00273.R7K00273;
125537;9885;2;-0,473337;0;0,6442;250;0,167675;10,6517;0,0939097;0,0406;0,0058;739,701;737,973;736,2;29600;0;14724;0,025;0,05;0;10,6013;0;01/08/1990 02:28:52;01/08/1990 02:33:08;0,084211;0,09275;23,196;23,122;23,159;19,125;19;19,062;0;0;4;0;0;0;0;0;-0,202548;-0,0292151;1279,8;542;0;0;5;3;0;10022;0;0;2025.R7K00273.R7K00273;
125538;9885;2;-0,103823;0;0,6442;250;0,167675;10,6563;0,0263977;0,0412;0,007;740,018;738,29;739,25;29605;0;14785;0,025;0,05;0;10,6452;0;01/08/1990 02:33:18;01/08/1990 02:37:34;0,074226;0,09259;23,018;23,222;23,12;19,125;19;19,062;0;0;4;0;0;0;0;0;-0,292226;-0,202548;2018;1279,8;0;0;5;3;0;10022;0;0;2025.R7K00273.R7K00273;
125539;9885;2;0,0342211;0;0,6442;250;0,167675;10,656;0,0300195;0,0411;0,0062;739,997;738,286;740,25;29605;0;14805;0,025;0,05;0;10,6596;0;01/08/1990 02:37:44;01/08/1990 02:42:01;0,083419;0,094318;23,223;23,215;23,219;19;18,875;18,938;0;0;4;0;0;0;0;0;-0,178443;-0,292226;2756,4;2018;0;0;5;3;0;10022;0;0;2025.R7K00273.R7K00273;
125540;9885;3;-0,238893;0;0,6442;220;0,104799;6,66184;0,0463012;0,0224;0,0022;407,113;406,171;406,14;27131;0;13538;0,015;0,03;0;6,64593;0;01/08/1990 02:52:06;01/08/1990 02:55:52;0,059716;0,077645;23,132;23,16;23,146;19;18,875;18,938;0;0;4;0;0;0;0;0;0,0459882;-0,00256119;462,3;56,08;0;0;6;3;0;10022;0;0;2025.R7K00273.R7K00273;
