DataOra	Valore	
06/09/2023 02:00:00	0.00	
06/09/2023 01:45:00	-0.65	
06/09/2023 01:30:00	-16.98	
06/09/2023 01:15:00	-1.38	
06/09/2023 01:00:00	2.21	
06/09/2023 00:45:00	2.94	
06/09/2023 00:30:00	9.38	
06/09/2023 00:15:00	-21.02	
06/09/2023 00:00:00	-8.69	
05/09/2023 23:45:00	10.28	
05/09/2023 23:30:00	-5.37	
05/09/2023 23:15:00	-7.29	
05/09/2023 23:00:00	-17.49	
05/09/2023 22:45:00	1.44	
05/09/2023 22:30:00	7.06	
05/09/2023 22:15:00	5.34	
05/09/2023 22:00:00	1.88	
05/09/2023 21:45:00	-1.22	
05/09/2023 21:30:00	19.64	
05/09/2023 21:15:00	10.68	
05/09/2023 21:00:00	6.04	
05/09/2023 20:45:00	27.99	
05/09/2023 20:30:00	-2.22	
05/09/2023 20:15:00	-9.75	
05/09/2023 20:00:00	3.67	
05/09/2023 19:45:00	-8.50	
05/09/2023 19:30:00	18.75	
05/09/2023 19:15:00	23.25	
05/09/2023 19:00:00	-33.07	
05/09/2023 18:45:00	2.89	
05/09/2023 18:30:00	37.20	
05/09/2023 18:15:00	-9.83	
05/09/2023 18:00:00	9.67	
05/09/2023 17:45:00	9.79	
05/09/2023 17:30:00	21.53	
05/09/2023 17:15:00	-2.84	
05/09/2023 17:00:00	-2.94	
05/09/2023 16:45:00	-6.51	
05/09/2023 16:30:00	-13.26	
05/09/2023 16:15:00	-14.25	
05/09/2023 16:00:00	12.25	
05/09/2023 15:45:00	-3.40	
05/09/2023 15:30:00	4.90	
05/09/2023 15:15:00	-12.32	
05/09/2023 15:00:00	-9.16	
05/09/2023 14:45:00	3.63	
05/09/2023 14:30:00	3.63	
05/09/2023 14:15:00	-4.23	
05/09/2023 14:00:00	-7.63	
05/09/2023 13:45:00	-3.10	
05/09/2023 13:30:00	0.79	
05/09/2023 13:15:00	-3.01	
05/09/2023 13:00:00	5.64	
05/09/2023 12:45:00	10.31	
05/09/2023 12:30:00	6.70	
05/09/2023 12:15:00	3.35	
05/09/2023 12:00:00	0.00	
05/09/2023 11:45:00	7.80	
05/09/2023 11:30:00	-8.48	
05/09/2023 11:15:00	-4.34	
05/09/2023 11:00:00	1.66	
05/09/2023 10:45:00	0.81	
05/09/2023 10:30:00	25.86	
05/09/2023 10:15:00	-18.16	
05/09/2023 10:00:00	0.00	
05/09/2023 09:45:00	-21.77	
05/09/2023 09:30:00	13.76	
05/09/2023 09:15:00	12.29	
05/09/2023 09:00:00	-9.70	
05/09/2023 08:45:00	24.01	
