DataOra	Valore	
06/09/2023 02:15:00	23.53	
06/09/2023 02:00:00	21.86	
06/09/2023 01:45:00	11.54	
06/09/2023 01:30:00	10.39	
06/09/2023 01:15:00	8.41	
06/09/2023 01:00:00	8.41	
06/09/2023 00:45:00	6.31	
06/09/2023 00:30:00	9.11	
06/09/2023 00:15:00	11.22	
06/09/2023 00:00:00	7.70	
05/09/2023 23:45:00	6.97	
05/09/2023 23:30:00	8.86	
05/09/2023 23:15:00	10.84	
05/09/2023 23:00:00	10.96	
05/09/2023 22:45:00	11.00	
05/09/2023 22:30:00	11.00	
05/09/2023 22:15:00	14.00	
05/09/2023 22:00:00	29.48	
05/09/2023 21:45:00	-12.13	
05/09/2023 21:30:00	-12.13	
05/09/2023 21:15:00	-33.46	
05/09/2023 21:00:00	-34.06	
05/09/2023 20:45:00	-32.07	
05/09/2023 20:30:00	-29.93	
05/09/2023 20:15:00	-31.53	
05/09/2023 20:00:00	-34.32	
05/09/2023 19:45:00	-29.90	
05/09/2023 19:30:00	-4.78	
05/09/2023 19:15:00	-4.78	
05/09/2023 19:00:00	-7.68	
05/09/2023 18:45:00	-10.58	
05/09/2023 18:30:00	57.26	
05/09/2023 18:15:00	46.82	
05/09/2023 18:00:00	13.56	
05/09/2023 17:45:00	13.56	
05/09/2023 17:30:00	13.54	
05/09/2023 17:15:00	13.43	
05/09/2023 17:00:00	10.46	
05/09/2023 16:45:00	11.58	
05/09/2023 16:30:00	13.65	
05/09/2023 16:15:00	11.78	
05/09/2023 16:00:00	35.13	
05/09/2023 15:45:00	35.13	
05/09/2023 15:30:00	32.15	
05/09/2023 15:15:00	7.51	
05/09/2023 15:00:00	-43.25	
05/09/2023 14:45:00	-41.27	
05/09/2023 14:30:00	-41.19	
05/09/2023 14:15:00	-41.19	
05/09/2023 14:00:00	-40.94	
05/09/2023 13:45:00	-41.22	
05/09/2023 13:30:00	-35.24	
05/09/2023 13:15:00	12.37	
05/09/2023 13:00:00	13.44	
05/09/2023 12:45:00	29.87	
05/09/2023 12:30:00	29.87	
05/09/2023 12:15:00	33.18	
05/09/2023 12:00:00	13.30	
05/09/2023 11:45:00	13.30	
05/09/2023 11:30:00	15.37	
05/09/2023 11:15:00	15.37	
05/09/2023 11:00:00	10.44	
05/09/2023 10:45:00	14.95	
05/09/2023 10:30:00	17.78	
05/09/2023 10:15:00	17.78	
05/09/2023 10:00:00	15.15	
05/09/2023 09:45:00	-16.42	
05/09/2023 09:30:00	-18.54	
05/09/2023 09:15:00	-11.92	
05/09/2023 09:00:00	-33.17	
05/09/2023 08:45:00	-33.85	
05/09/2023 08:30:00	-36.33	
05/09/2023 08:15:00	-36.11	
05/09/2023 08:00:00	-35.49	
05/09/2023 07:45:00	-32.27	
05/09/2023 07:30:00	-32.27	
05/09/2023 07:15:00	12.23	
05/09/2023 07:00:00	8.13	
05/09/2023 06:45:00	27.38	
05/09/2023 06:30:00	27.38	
05/09/2023 06:15:00	22.24	
05/09/2023 06:00:00	21.07	
05/09/2023 05:45:00	21.07	
05/09/2023 05:30:00	14.75	
05/09/2023 05:15:00	14.75	
05/09/2023 05:00:00	3.94	
05/09/2023 04:45:00	3.18	
05/09/2023 04:30:00	4.66	
05/09/2023 04:15:00	3.05	
05/09/2023 04:00:00	3.81	
05/09/2023 03:45:00	4.12	
05/09/2023 03:30:00	4.12	
05/09/2023 03:15:00	0.00	
05/09/2023 03:00:00	0.00	
05/09/2023 02:45:00	0.00	
05/09/2023 02:30:00	22.50	
05/09/2023 02:15:00	18.92	
05/09/2023 02:00:00	19.67	
05/09/2023 01:45:00	19.67	
05/09/2023 01:30:00	5.41	
05/09/2023 01:15:00	3.19	
05/09/2023 01:00:00	4.70	
05/09/2023 00:45:00	4.70	
05/09/2023 00:30:00	2.51	
05/09/2023 00:15:00	5.95	
05/09/2023 00:00:00	2.51	
04/09/2023 23:45:00	3.86	
04/09/2023 23:30:00	5.65	
04/09/2023 23:15:00	3.43	
04/09/2023 23:00:00	3.43	
04/09/2023 22:45:00	23.91	
04/09/2023 22:30:00	18.54	
04/09/2023 22:15:00	21.31	
04/09/2023 22:00:00	9.59	
04/09/2023 21:45:00	9.59	
04/09/2023 21:30:00	-42.97	
04/09/2023 21:15:00	-42.97	
04/09/2023 21:00:00	-39.71	
04/09/2023 20:45:00	-35.86	
04/09/2023 20:30:00	-35.86	
04/09/2023 20:15:00	-42.30	
04/09/2023 20:00:00	-43.80	
04/09/2023 19:45:00	-43.80	
04/09/2023 19:30:00	10.91	
04/09/2023 19:15:00	10.91	
04/09/2023 19:00:00	30.30	
04/09/2023 18:45:00	9.19	
04/09/2023 18:30:00	6.85	
04/09/2023 18:15:00	2.85	
04/09/2023 18:00:00	2.85	
04/09/2023 17:45:00	22.65	
04/09/2023 17:30:00	22.65	
04/09/2023 17:15:00	1.19	
04/09/2023 17:00:00	1.19	
04/09/2023 16:45:00	4.20	
04/09/2023 16:30:00	17.46	
04/09/2023 16:15:00	17.46	
04/09/2023 16:00:00	19.97	
04/09/2023 15:45:00	0.00	
04/09/2023 15:30:00	0.00	
04/09/2023 15:15:00	-1.60	
04/09/2023 15:00:00	-1.49	
04/09/2023 14:30:00	0.00	
04/09/2023 14:15:00	-47.68	
04/09/2023 14:00:00	-47.68	
04/09/2023 13:45:00	-47.68	
04/09/2023 13:30:00	-47.68	
04/09/2023 13:15:00	-47.68	
04/09/2023 13:00:00	-47.68	
04/09/2023 12:45:00	-47.68	
04/09/2023 12:30:00	-47.68	
04/09/2023 12:15:00	-47.68	
04/09/2023 12:00:00	-47.68	
04/09/2023 11:45:00	-47.68	
04/09/2023 11:30:00	-47.68	
04/09/2023 11:15:00	4.95	
04/09/2023 11:00:00	4.95	
04/09/2023 10:45:00	4.95	
04/09/2023 10:30:00	4.95	
04/09/2023 10:15:00	4.95	
04/09/2023 10:00:00	4.95	
04/09/2023 09:45:00	4.95	
04/09/2023 09:30:00	4.95	
04/09/2023 09:15:00	4.95	
04/09/2023 09:00:00	4.95	
04/09/2023 08:45:00	4.95	
04/09/2023 08:30:00	4.95	
04/09/2023 08:15:00	4.95	
04/09/2023 08:00:00	4.95	
04/09/2023 07:45:00	14.91	
04/09/2023 07:30:00	14.91	
04/09/2023 07:15:00	14.91	
04/09/2023 07:00:00	14.91	
04/09/2023 06:45:00	14.91	
04/09/2023 06:30:00	14.91	
04/09/2023 06:15:00	14.91	
04/09/2023 06:00:00	14.91	
04/09/2023 05:45:00	14.91	
04/09/2023 05:30:00	14.91	
04/09/2023 05:15:00	14.91	
04/09/2023 05:00:00	14.91	
04/09/2023 04:45:00	14.91	
04/09/2023 04:30:00	14.91	
04/09/2023 04:15:00	14.91	
04/09/2023 04:00:00	14.91	
04/09/2023 03:45:00	14.91	
04/09/2023 03:30:00	14.91	
04/09/2023 03:15:00	14.91	
04/09/2023 03:00:00	14.91	
04/09/2023 02:45:00	14.91	
04/09/2023 02:30:00	0.00	
04/09/2023 02:15:00	0.00	
04/09/2023 02:00:00	0.00	
04/09/2023 01:45:00	0.00	
04/09/2023 01:30:00	0.00	
04/09/2023 01:15:00	0.00	
04/09/2023 01:00:00	0.00	
04/09/2023 00:45:00	0.00	
04/09/2023 00:30:00	0.00	
04/09/2023 00:15:00	0.00	
04/09/2023 00:00:00	0.00	
03/09/2023 23:45:00	0.00	
03/09/2023 23:30:00	0.00	
03/09/2023 23:15:00	0.00	
03/09/2023 23:00:00	0.00	
03/09/2023 22:45:00	0.00	
03/09/2023 22:30:00	0.00	
03/09/2023 22:15:00	0.00	
03/09/2023 22:00:00	0.00	
03/09/2023 21:45:00	0.00	
03/09/2023 21:30:00	0.00	
03/09/2023 21:15:00	0.00	
03/09/2023 21:00:00	0.00	
03/09/2023 20:45:00	0.00	
03/09/2023 20:30:00	0.00	
03/09/2023 20:15:00	0.00	
03/09/2023 20:00:00	0.00	
03/09/2023 19:45:00	0.00	
03/09/2023 19:30:00	0.00	
03/09/2023 19:15:00	0.00	
03/09/2023 19:00:00	0.00	
03/09/2023 18:45:00	0.00	
03/09/2023 18:30:00	0.00	
03/09/2023 18:15:00	0.00	
03/09/2023 18:00:00	0.00	
03/09/2023 17:45:00	0.00	
03/09/2023 17:30:00	0.00	
03/09/2023 17:15:00	10.58	
03/09/2023 17:00:00	10.58	
03/09/2023 16:45:00	10.58	
03/09/2023 16:30:00	4.42	
03/09/2023 16:15:00	4.42	
03/09/2023 16:00:00	4.42	
03/09/2023 15:45:00	4.42	
03/09/2023 15:30:00	4.42	
