DataOra	Valore	
06/09/2023 06:15:00	28.05	
06/09/2023 06:00:00	10.56	
06/09/2023 05:45:00	9.79	
06/09/2023 05:30:00	9.69	
06/09/2023 05:15:00	9.49	
06/09/2023 05:00:00	12.92	
06/09/2023 04:45:00	12.50	
06/09/2023 04:30:00	12.21	
06/09/2023 04:15:00	12.02	
06/09/2023 04:00:00	11.72	
06/09/2023 03:45:00	12.59	
06/09/2023 03:30:00	28.82	
06/09/2023 03:15:00	28.60	
06/09/2023 03:00:00	28.38	
06/09/2023 02:45:00	28.27	
06/09/2023 02:30:00	12.20	
06/09/2023 02:15:00	12.27	
06/09/2023 02:00:00	9.07	
06/09/2023 01:45:00	9.30	
06/09/2023 01:30:00	9.15	
06/09/2023 01:15:00	9.58	
06/09/2023 01:00:00	9.56	
06/09/2023 00:45:00	9.41	
06/09/2023 00:30:00	10.12	
06/09/2023 00:15:00	18.55	
06/09/2023 00:00:00	26.70	
05/09/2023 23:45:00	27.09	
05/09/2023 23:30:00	26.97	
05/09/2023 23:15:00	27.30	
05/09/2023 23:00:00	12.18	
05/09/2023 22:45:00	15.06	
05/09/2023 22:30:00	15.69	
05/09/2023 22:15:00	15.88	
05/09/2023 22:00:00	14.81	
05/09/2023 21:45:00	26.38	
05/09/2023 21:30:00	25.95	
05/09/2023 21:15:00	27.95	
05/09/2023 21:00:00	27.99	
05/09/2023 20:45:00	27.86	
05/09/2023 20:30:00	28.07	
05/09/2023 20:15:00	27.47	
05/09/2023 20:00:00	25.53	
05/09/2023 19:45:00	14.26	
05/09/2023 19:30:00	14.09	
05/09/2023 19:15:00	15.42	
05/09/2023 19:00:00	27.77	
05/09/2023 18:45:00	27.64	
05/09/2023 18:30:00	26.74	
05/09/2023 18:15:00	26.87	
05/09/2023 18:00:00	28.33	
05/09/2023 17:45:00	26.03	
05/09/2023 17:30:00	26.52	
05/09/2023 17:15:00	26.38	
05/09/2023 17:00:00	12.72	
05/09/2023 16:45:00	12.93	
05/09/2023 16:30:00	10.79	
05/09/2023 16:15:00	14.70	
05/09/2023 16:00:00	12.11	
05/09/2023 15:45:00	27.22	
05/09/2023 15:30:00	28.36	
05/09/2023 15:15:00	28.94	
05/09/2023 15:00:00	27.37	
05/09/2023 14:45:00	27.09	
05/09/2023 14:30:00	26.74	
05/09/2023 14:15:00	28.45	
05/09/2023 14:00:00	25.50	
05/09/2023 13:45:00	13.59	
05/09/2023 13:30:00	14.35	
05/09/2023 13:15:00	13.62	
05/09/2023 13:00:00	12.18	
05/09/2023 12:45:00	27.21	
05/09/2023 12:30:00	27.01	
05/09/2023 12:15:00	26.81	
