ID;Ripetizione;Q;Colonna1;Colonna2;Colonna3;Colonna4;Colonna5;Colonna6;Colonna7;Colonna8;Colonna9;Colonna10;Colonna11;Colonna12;Colonna13;E;Colonna14;Colonna15;Point
52346;4;0,167864;25,0769;0,719083;-0,00259892;29,783;997,52;29,8887;0,453189;640,989;100;29,8877;640,756;2812;28,1302;-5,88023;1;F;Q2(0,16) (3)
52346;4;0,168308;24,9222;0,721016;-0,00256859;29,802;997,56;29,9066;0,427673;639,682;100;29,9056;639,538;2789;27,8963;-6,71875;0;F;Q2(0,16) (2)
52346;5;0,104801;25,2016;0,803408;-0,0024193;14,861;997,488;14,9142;0,691757;512,314;100;14,9137;511,865;1344;13,4518;-9,80226;1;F;Q1(0,1) (3)
52346;5;0,104827;25,145;0,801801;-0,00262365;14,869;997,503;14,922;0,672638;512,456;100;14,9215;511,905;1340;13,4144;-10,0998;1;F;Q1(0,1) (2)
52346;5;0,105084;25,1109;0,801268;-0,00252871;14,854;997,512;14,9068;0,670239;510,685;100;14,9063;510,323;1354;13,5496;-9,10135;1;F;Q1(0,1) (1)
52347;3;38,8245;25,0611;0,854822;0,150037;1004,25;997,524;1007,81;0,0868581;93,449;4;1007,77;93,4249;4029;1007,51;-0,0257516;1;T;Q3(40) (3)
52347;3;38,8873;25,055;0,856629;0,151156;1004,11;997,526;1007,67;0,0873254;93,285;4;1007,63;93,2745;4028;1007,11;-0,0510423;1;T;Q3(40) (2)
52347;3;38,4052;25,0519;0,846713;0,145832;1000,73;997,527;1004,27;0,121199;94,138;4;1004,24;94,0979;4015;1004,18;-0,00572738;1;T;Q3(40) (1)
52347;4;0,167864;25,0769;0,721682;-0,00259892;29,783;997,52;29,8887;0,453189;640,989;100;29,8877;640,688;2696;26,9727;-9,75331;1;F;Q2(0,16) (3)
52347;4;0,168308;24,9222;0,723585;-0,00256859;29,802;997,56;29,9066;0,427673;639,682;100;29,9056;639,644;2696;26,9616;-9,84422;1;F;Q2(0,16) (2)
52347;4;0,168379;24,9281;0,724747;-0,00250991;29,786;997,559;29,8905;0,39744;639,07;100;29,8896;638,809;2686;26,871;-10,0991;1;F;Q2(0,16) (1)
52347;5;0,104801;25,2016;0,805827;-0,0024193;14,861;997,488;14,9142;0,691757;512,314;100;14,9137;511,959;1242;12,4286;-16,663;1;F;Q1(0,1) (3)
52347;5;0,104827;25,145;0,804425;-0,00262365;14,869;997,503;14,922;0,672638;512,456;100;14,9215;511,977;1243;12,4416;-16,6193;1;F;Q1(0,1) (2)
52347;5;0,105084;25,1109;0,803797;-0,00252871;14,854;997,512;14,9068;0,670239;510,685;100;14,9063;510,348;1221;12,2181;-18,0341;1;F;Q1(0,1) (1)
