ID_M;ID_C;P;Ev /%;Eq /%;KA;Durata /s ;V_REF / m/s ;Q_Ref;s(Q_Ref);P_liq_M / MPa;P_liq_V / MPa;V_REF / dm3;P_REF / kg;V_Test / dm3;Np_Ref;Np_Ref_A;Np_Test;Vp_Ref / dm3;Vp_Test /dm3;V_test / m/s;Q_Test / m3/h;s(Q_Test);start_time;stop_time;T_tcb /s;T_tbc /s;T_Air_s /°C;T_Air_f /°C;T_Air_M /°C;T_Liq_s /°C;T_Liq_f /°C;T_Liq_M /°C;P_Air_s  /mbar;P_Air_f  /mbar;REF_Q;S_ErrC2;S_flag;SE_flag;C_MxA /dm3;C_Mx  /dm3;C_B_F  /kg;C_B_S  /kg;P_B_F  / kg;P_B_S /kg;T_V;T_M;REF_M;PSel;ERR_Code;S_ErrC1;mA/ V / hz;s(T_liq);REF;
125155;9853;1;0,0552355;n.a;0,6365;120;5,97322;380,062;0,16881;0,0963;0,0695;12673;0;12680;12673;12847;6340;1;2;0;380,4;0;19/07/1990 01:19:49;19/07/1990 01:21:50;0;0;18,659;18,647;18,653;18,875;19;18,938;0;0;1;10002;8;0;0,880161;0,884254;0,0440168;-0,00288027;459,32;21,5;0;0;1;1;0;10022;0;0;2025.R7K00186.R7K00186;
125156;9853;1;0,165733;n.a;0,6365;120;5,97322;379,999;0,237045;0,096;0,0686;12671;0;12692;12671;12841;6346;1;2;0;380,76;0;19/07/1990 01:21:55;19/07/1990 01:23:56;0;0;18,521;18,698;18,61;19;19;19;0;0;1;10002;8;0;0,880161;0,884254;0,0440168;-0,00288027;459,32;21,5;0;0;1;1;0;10022;0;0;2025.R7K00186.R7K00186;
125157;9853;1;0,229014;n.a;0,6365;120;5,97322;379,792;0,194307;0,0964;0,0694;12663;0;12692;12663;12835;6346;1;2;0;380,76;0;19/07/1990 01:24:01;19/07/1990 01:26:02;0;0;18,577;18,627;18,602;19;19,125;19,062;0;0;1;10002;8;0;0,880161;0,884254;0,0440168;-0,00288027;459,32;21,5;0;0;1;1;0;10022;0;0;2025.R7K00186.R7K00186;
