ID_M;ID_C;P;Ev /%;Eq /%;KA;Durata /s ;V_REF / m/s ;Q_Ref;s(Q_Ref);P_liq_M / MPa;P_liq_V / MPa;V_REF / dm3;P_REF / kg;V_Test / dm3;Np_Ref;Np_Ref_A;Np_Test;Vp_Ref / dm3;Vp_Test /dm3;V_test / m/s;Q_Test / m3/h;s(Q_Test);start_time;stop_time;T_tcb /s;T_tbc /s;T_Air_s /°C;T_Air_f /°C;T_Air_M /°C;T_Liq_s /°C;T_Liq_f /°C;T_Liq_M /°C;P_Air_s  /mbar;P_Air_f  /mbar;REF_Q;S_ErrC2;S_flag;SE_flag;C_MxA /dm3;C_Mx  /dm3;C_B_F  /kg;C_B_S  /kg;P_B_F  / kg;P_B_S /kg;T_V;T_M;REF_M;PSel;ERR_Code;S_ErrC1;mA/ V / hz;s(T_liq);REF;
124979;9839;1;-0,0472224;n.a;0,6288;120;3,1438;200,022;0,127497;0,0495;0,041;6670,35;0;6667,2;14823;15025;7408;0,45;0,9;0;200,016;0;13/07/1990 06:06:43;13/07/1990 06:08:44;0;0;20,69;20,645;20,668;16,375;16,375;16,375;0;0;1;10002;8;0;0,880161;0,884254;0,0356919;0,00383796;49,85;6,082;0;0;1;1;0;10022;0;0;2025.R7K00186.R7K00186;
124980;9839;1;-0,0202457;n.a;0,6288;120;3,1438;199,992;0,100358;0,0494;0,0411;6668,55;0;6667,2;14819;15026;7408;0,45;0,9;0;200,016;0;13/07/1990 06:08:49;13/07/1990 06:10:50;0;0;20,639;20,705;20,672;16,375;16,375;16,375;0;0;1;10002;8;0;0,880161;0,884254;0,0356919;0,00383796;49,85;6,082;0;0;1;1;0;10022;0;0;2025.R7K00186.R7K00186;
124981;9839;1;0,0404814;n.a;0,6288;120;3,1438;199,979;0,153531;0,0498;0,0418;6669;0;6671,7;14820;15036;7413;0,45;0,9;0;200,151;0;13/07/1990 06:10:56;13/07/1990 06:12:57;0;0;20,695;20,77;20,732;16,375;16,375;16,375;0;0;1;10002;8;0;0,880161;0,884254;0,0356919;0,00383796;49,85;6,082;0;0;1;1;0;10022;0;0;2025.R7K00186.R7K00186;
124982;9839;2;0,205436;n.a;0,6288;120;5,97322;379,565;0,202832;0,0982;0,0715;12656;0;12682;12656;12825;6341;1;2;0;380,46;0;13/07/1990 06:15:35;13/07/1990 06:17:36;0;0;20,846;20,804;20,825;16,375;16,5;16,438;0;0;1;0;0;0;0,880161;0,884254;0,0356919;0,00383796;49,85;6,082;0;0;1;3;0;10022;0;0;2025.R7K00186.R7K00186;
124983;9839;2;0,126283;n.a;0,6288;120;5,97322;380,002;0,250323;0,0987;0,0707;12670;0;12686;12670;12840;6343;1;2;0;380,58;0;13/07/1990 06:17:41;13/07/1990 06:19:42;0;0;20,805;20,829;20,817;16,5;16,5;16,5;0;0;1;0;0;0;0,880161;0,884254;0,0356919;0,00383796;49,85;6,082;0;0;1;3;0;10022;0;0;2025.R7K00186.R7K00186;
124984;9839;2;0,221029;n.a;0,6288;120;5,97322;379,993;0,16572;0,0984;0,0714;12668;0;12696;12668;12845;6348;1;2;0;380,88;0;13/07/1990 06:19:47;13/07/1990 06:21:48;0;0;20,703;20,673;20,688;16,5;16,625;16,562;0;0;1;0;0;0;0,880161;0,884254;0,0356919;0,00383796;49,85;6,082;0;0;1;3;0;10022;0;0;2025.R7K00186.R7K00186;
124985;9839;3;-0,9394;n.a;0,6288;200;0,62876;39,9755;0,0943441;0,0467;0,0464;2220,86;2216,55;2200;22186;22190;11000;0,1;0,2;0;39,6;0;13/07/1990 06:25:37;13/07/1990 06:29:04;0,084785;0,093746;20,779;20,852;20,816;17;16,875;16,938;0;0;2;0;0;0;0,880161;0,884254;-0,177203;-0,029626;2760,6;544,2;0;0;5;3;0;10022;0;0;2025.R7K00186.R7K00186;
124986;9839;3;-1,0111;n.a;0,6288;200;0,62876;40,0045;0,1046;0,0466;0,0467;2222,47;2218,15;2200;22212;22232;11000;0,1;0,2;0;39,6;0;13/07/1990 06:30:05;13/07/1990 06:33:31;0,081312;0,093545;20,824;20,935;20,88;16,875;17;16,938;0;0;2;0;0;0;0,880161;0,884254;-0,18038;-0,0273309;2749,8;531,8;0;0;5;3;0;10022;0;0;2025.R7K00186.R7K00186;
124987;9839;3;-0,994159;n.a;0,6288;200;0,62876;39,994;0,117587;0,0472;0,0466;2221,89;2217,55;2199,8;22210;22217;10999;0,1;0,2;0;39,5964;0;13/07/1990 06:34:32;13/07/1990 06:37:58;0,086725;0,094772;20,969;20,837;20,903;17;17;17;0;0;2;0;0;0;0,880161;0,884254;-0,177144;-0,0294764;2760,8;543,4;0;0;5;3;0;10022;0;0;2025.R7K00186.R7K00186;
124988;9839;4;-5,21303;n.a;0,6288;200;0,16505;10,4881;0,0186767;0,0446;0,0444;582,675;581,536;552,3;23316;0;11046;0,025;0,05;0;9,9414;0;13/07/1990 06:45:15;13/07/1990 06:48:41;0,086698;0,093257;20,995;20,886;20,94;17;17;17;0;0;4;0;0;0;0,880161;0,884254;-0,165059;-0,0285462;1119,8;538,4;0;0;5;0;0;10022;0;0;2025.R7K00186.R7K00186;
