ID_M;ID_C;P;Ev /%;Eq /%;KA;Durata /s ;V_REF / m/s ;Q_Ref;s(Q_Ref);P_liq_M / MPa;P_liq_V / MPa;V_REF / dm3;P_REF / kg;V_Test / dm3;Np_Ref;Np_Ref_A;Np_Test;Vp_Ref / dm3;Vp_Test /dm3;V_test / m/s;Q_Test / m3/h;s(Q_Test);start_time;stop_time;T_tcb /s;T_tbc /s;T_Air_s /°C;T_Air_f /°C;T_Air_M /°C;T_Liq_s /°C;T_Liq_f /°C;T_Liq_M /°C;P_Air_s  /mbar;P_Air_f  /mbar;REF_Q;S_ErrC2;S_flag;SE_flag;C_MxA /dm3;C_Mx  /dm3;C_B_F  /kg;C_B_S  /kg;P_B_F  / kg;P_B_S /kg;T_V;T_M;REF_M;PSel;ERR_Code;S_ErrC1;mA/ V / hz;s(T_liq);REF;
125522;9884;1;0,0869222;n.a;0,6476;120;5,97322;379,187;0,32933;0,1036;0,0767;12655;0;12666;12655;12800;6333;1;2;0;379,98;0;31/07/1990 23:02:14;31/07/1990 23:04:14;0;0;22,053;22,148;22,1;17,75;17,875;17,812;0;0;1;10001;4;0;0;0;0,0238766;-0,00299521;284,16;32,58;0;0;1;1;0;10022;0;0;2025.R7K00189.R7K00189;
125523;9884;1;0,459151;n.a;0,6476;120;5,97322;379,855;0,159563;0,1059;0,0774;12632;0;12690;12632;12843;6345;1;2;0;380,7;0;31/07/1990 23:04:20;31/07/1990 23:06:20;0;0;22,16;22,126;22,143;17,875;18;17,938;0;0;1;10001;4;0;0;0;0,0238766;-0,00299521;284,16;32,58;0;0;1;1;0;10022;0;0;2025.R7K00189.R7K00189;
125524;9884;2;0,409637;n.a;0,6476;250;0,167675;10,6556;0,0262029;0,0408;0,0406;739,969;738,373;743;29606;0;14860;0,025;0,05;0;10,6992;0;31/07/1990 23:11:09;31/07/1990 23:15:25;0,083714;0,093233;22,226;22,222;22,224;18,125;18,125;18,125;0;0;4;0;0;0;0;0;-0,200137;-0,027148;1269;530,8;0;0;5;3;0;10022;0;0;2025.R7K00189.R7K00189;
125525;9884;2;0,271855;n.a;0,6476;250;0,167675;10,6573;0,0264868;0,0409;0,0407;740,088;738,492;742,1;29607;0;14842;0,025;0,05;0;10,6862;0;31/07/1990 23:15:35;31/07/1990 23:19:51;0,074294;0,092969;22,243;22,333;22,288;18,125;18,125;18,125;0;0;4;0;0;0;0;0;-0,292272;-0,200137;2007,4;1269;0;0;5;3;0;10022;0;0;2025.R7K00189.R7K00189;
125526;9884;3;0,326223;n.a;0,6476;220;0,104799;6,67178;0,327885;0,0231;0,0229;407,72;406,831;409,05;27175;0;13635;0,015;0,03;0;6,69355;0;31/07/1990 23:25:08;31/07/1990 23:28:53;0,057298;0,079488;22,309;22,355;22,332;18,25;18,25;18,25;0;0;4;0;0;0;0;0;0,0463015;-0,00258118;462,76;55,88;0;0;6;3;0;10022;0;0;2025.R7K00189.R7K00189;
125527;9884;3;0,394156;n.a;0,6476;220;0,104799;6,6614;0,0405072;0,0231;0,0227;407,085;406,193;408,69;27132;0;13623;0,015;0,03;0;6,68765;0;31/07/1990 23:30:19;31/07/1990 23:34:05;0,072445;0,077599;22,36;22,385;22,372;18,25;18,375;18,312;0;0;4;0;0;0;0;0;0,0438111;-0,00287328;459;52,76;0;0;6;3;0;10022;0;0;2025.R7K00189.R7K00189;
125528;9884;4;0,118118;n.a;0,6476;250;0,0528159;3,35958;0,0902658;0,0387;0,0387;233,304;232,793;233,58;23324;0;11679;0,01;0,02;0;3,36355;0;31/07/1990 23:42:53;31/07/1990 23:47:08;0,072946;0,075602;22,312;22,498;22,405;18,375;18,25;18,312;0;0;4;0;0;0;0;0;0,0238786;-0,00299685;284,12;51,3;0;0;6;3;0;10022;0;0;2025.R7K00189.R7K00189;
125529;9884;4;0,837363;n.a;0,6476;250;0,0528159;3,35847;0,075175;0,0388;0,0388;233,227;232,713;235,18;23324;0;11759;0,01;0,02;0;3,38659;0;31/07/1990 23:48:27;31/07/1990 23:52:43;0,073967;0,074929;22,327;22,46;22,394;18,375;18,375;18,375;0;0;4;0;0;0;0;0;0,0238796;-0,00299194;284,1;51,36;0;0;6;3;0;10022;0;0;2025.R7K00189.R7K00189;
