ID_M;ID_C;P;Ev /%;Eq /%;KA;Durata /s ;V_REF / m/s ;Q_Ref;s(Q_Ref);P_liq_M / MPa;P_liq_V / MPa;V_REF / dm3;P_REF / kg;V_Test / dm3;Np_Ref;Np_Ref_A;Np_Test;Vp_Ref / dm3;Vp_Test /dm3;V_test / m/s;Q_Test / m3/h;s(Q_Test);start_time;stop_time;T_tcb /s;T_tbc /s;T_Air_s /°C;T_Air_f /°C;T_Air_M /°C;T_Liq_s /°C;T_Liq_f /°C;T_Liq_M /°C;P_Air_s  /mbar;P_Air_f  /mbar;REF_Q;S_ErrC2;S_flag;SE_flag;C_MxA /dm3;C_Mx  /dm3;C_B_F  /kg;C_B_S  /kg;P_B_F  / kg;P_B_S /kg;T_V;T_M;REF_M;PSel;ERR_Code;S_ErrC1;mA/ V / hz;s(T_liq);REF;
125139;9852;1;-6,89628;0;0,6;120;5,97322;379,651;0,230452;0,096;0,0691;12659;0;11786;12659;12829;5893;1;2;0;353,58;0;18/07/1990 06:49:21;18/07/1990 06:51:22;0;0;19,122;18,958;19,04;17,5;17,625;17,562;0;0;1;10001;4;0;0,880161;0,884254;0,0441459;-0,00289071;459,52;-0,08;0;0;1;1;0;10022;0;0;2025.R7K00189.R7K00189;
125140;9852;1;-6,9382;0;0,6;120;5,97322;380,006;0,188183;0,0963;0,0699;12669;0;11790;12669;12841;5895;1;2;0;353,7;0;18/07/1990 06:51:27;18/07/1990 06:53:28;0;0;18,963;18,94;18,952;17,625;17,75;17,688;0;0;1;10001;4;0;0,880161;0,884254;0,0441459;-0,00289071;459,52;-0,08;0;0;1;1;0;10022;0;0;2025.R7K00189.R7K00189;
125141;9852;1;-6,95508;0;0,6;120;5,97322;379,918;0,195538;0,0962;0,0692;12667;0;11786;12667;12835;5893;1;2;0;353,58;0;18/07/1990 06:53:33;18/07/1990 06:55:34;0;0;18,934;19,082;19,008;17,75;17,75;17,75;0;0;1;10001;4;0;0,880161;0,884254;0,0441459;-0,00289071;459,52;-0,08;0;0;1;1;0;10022;0;0;2025.R7K00189.R7K00189;
125142;9852;1;0,0631512;0;0,6447;120;5,97322;379,954;0,213337;0,0961;0,069;12668;0;12676;12668;12845;6338;1;2;0;380,28;0;18/07/1990 06:56:01;18/07/1990 06:58:02;0;0;19,072;19,117;19,094;17,75;17,75;17,75;0;0;1;10002;8;0;0,880161;0,884254;0,0441459;-0,00289071;459,52;-0,08;0;0;1;1;0;10022;0;0;2025.R7K00189.R7K00189;
125143;9852;1;0,0473485;0;0,6447;120;5,97322;380,053;0,16985;0,0956;0,069;12672;0;12678;12672;12843;6339;1;2;0;380,34;0;18/07/1990 06:58:07;18/07/1990 07:00:08;0;0;19,007;19,061;19,034;17,875;17,875;17,875;0;0;1;10002;8;0;0,880161;0,884254;0,0441459;-0,00289071;459,52;-0,08;0;0;1;1;0;10022;0;0;2025.R7K00189.R7K00189;
125144;9852;1;0,0315756;0;0,6447;120;5,97322;379,981;0,202756;0,0952;0,0704;12668;0;12672;12668;12841;6336;1;2;0;380,16;0;18/07/1990 07:00:13;18/07/1990 07:02:14;0;0;19,073;19,052;19,062;17,875;18;17,938;0;0;1;10002;8;0;0,880161;0,884254;0,0441459;-0,00289071;459,52;-0,08;0;0;1;1;0;10022;0;0;2025.R7K00189.R7K00189;
125145;9852;2;-0,169186;0;0,6447;250;0,16767;10,6553;0,0215449;0,0457;0,0453;739,952;738,373;738,7;29609;0;14774;0,025;0,05;0;10,6373;0;18/07/1990 07:05:29;18/07/1990 07:09:45;0,08429;0,092756;18,893;19,027;18,96;18;18;18;0;0;4;0;0;0;0,880161;0,884254;-0,202236;-0,0288802;1278,4;540,2;0;0;5;3;0;10022;0;0;2025.R7K00189.R7K00189;
125146;9852;2;-0,102759;0;0,6447;250;0,16767;10,6598;0,0298237;0,0456;0,0453;740,261;738,69;739,5;29611;0;14790;0,025;0,05;0;10,6488;0;18/07/1990 07:09:55;18/07/1990 07:14:11;0,081154;0,092732;19,019;19,021;19,02;18;17,875;17,938;0;0;4;0;0;0;0,880161;0,884254;-0,292232;-0,202236;2017;1278,4;0;0;5;3;0;10022;0;0;2025.R7K00189.R7K00189;
125147;9852;2;-0,10557;0;0,6447;250;0,16767;10,6565;0,0253917;0,0456;0,0454;740,031;738,487;739,25;29610;0;14785;0,025;0,05;0;10,6452;0;18/07/1990 07:14:21;18/07/1990 07:18:37;0,08443;0,093005;18,993;19,049;19,021;17,75;17,75;17,75;0;0;4;0;0;0;0,880161;0,884254;-0,178679;-0,292232;2755,6;2017;0;0;5;3;0;10022;0;0;2025.R7K00189.R7K00189;
125148;9852;3;0,0581625;0;0,6447;220;0,104793;6,66267;0,0431425;0,0427;0,0424;407,163;406,313;407,4;27138;0;13580;0,015;0,03;0;6,66655;0;18/07/1990 07:21:28;18/07/1990 07:25:15;0,070737;0,079209;19,047;18,952;19;17,75;17,75;17,75;0;0;4;0;0;0;0,880161;0,884254;0,0438369;-0,00288027;459,04;52,68;0;0;6;3;0;10022;0;0;2025.R7K00189.R7K00189;
125149;9852;3;-0,17027;0;0,6447;220;0,104793;6,66169;0,0417184;0,0428;0,0426;407,103;406,253;406,41;27138;0;13547;0,015;0,03;0;6,65035;0;18/07/1990 07:26:46;18/07/1990 07:30:32;0,075951;0,079993;19,061;18,934;18,998;17,75;17,75;17,75;0;0;4;0;0;0;0,880161;0,884254;0,043696;-0,00289418;458,82;52,52;0;0;6;3;0;10022;0;0;2025.R7K00189.R7K00189;
125150;9852;3;0,425989;0;0,6447;220;0,104793;6,66711;0,335595;0,0429;0,0425;407,434;406,593;409,17;27169;0;13639;0,015;0,03;0;6,69551;0;18/07/1990 07:32:04;18/07/1990 07:35:50;0,076329;0,080065;19,043;19,118;19,08;17,625;17,625;17,625;0;0;4;0;0;0;0,880161;0,884254;0,0440168;-0,00288027;459,32;52,68;0;0;6;3;0;10022;0;0;2025.R7K00189.R7K00189;
125151;9852;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;01/01/1990 00:00:00;01/01/1990 00:00:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2025.R7K00189.R7K00189;
