ID_M;ID_C;P;Ev /%;Eq /%;KA;Durata /s ;V_REF / m/s ;Q_Ref;s(Q_Ref);P_liq_M / MPa;P_liq_V / MPa;V_REF / dm3;P_REF / kg;V_Test / dm3;Np_Ref;Np_Ref_A;Np_Test;Vp_Ref / dm3;Vp_Test /dm3;V_test / m/s;Q_Test / m3/h;s(Q_Test);start_time;stop_time;T_tcb /s;T_tbc /s;T_Air_s /°C;T_Air_f /°C;T_Air_M /°C;T_Liq_s /°C;T_Liq_f /°C;T_Liq_M /°C;P_Air_s  /mbar;P_Air_f  /mbar;REF_Q;S_ErrC2;S_flag;SE_flag;C_MxA /dm3;C_Mx  /dm3;C_B_F  /kg;C_B_S  /kg;P_B_F  / kg;P_B_S /kg;T_V;T_M;REF_M;PSel;ERR_Code;S_ErrC1;mA/ V / hz;s(T_liq);REF;
90654;7229;1;-0,267476;n.a;1,3197;120;1,96488;125;0,272088;0,0483;0,0474;4162,53;0;4151,4;13883;13865;6919;0,3;0,6;0;124,542;0;17/04/2023 15:25:46;17/04/2023 15:27:47;0;0;18,725;18,725;18,725;18,969;18,969;18,969;0;0;2;10001;4;0;2,3557;2,3662;0,0308498;0,0168844;41,592;6,218;0;0;2;1;0;10022;0;0;2023.PROT01.MC7000;
90655;7229;1;-0,317963;n.a;1,3197;120;1,96488;124,949;0,180347;0,0486;0,0471;4162,23;0;4149;13882;13873;6915;0,3;0,6;0;124,47;0;17/04/2023 15:27:52;17/04/2023 15:29:53;0;0;18,725;18,833;18,779;18,969;18,969;18,969;0;0;2;10001;4;0;2,36037;2,36561;0,0308498;0,0168844;41,592;6,218;0;0;2;1;0;10022;0;0;2023.PROT01.MC7000;
90656;7229;1;-0,188115;n.a;1,3197;120;1,96488;125,057;0,290576;0,0486;0,0474;4163,43;0;4155,6;13886;13868;6926;0,3;0,6;0;124,668;0;17/04/2023 15:29:58;17/04/2023 15:31:59;0;0;18,725;18,618;18,672;19,076;19,076;19,076;0;0;2;10001;4;0;2,35745;2,36794;0,0308498;0,0168844;41,592;6,218;0;0;2;1;0;10022;0;0;2023.PROT01.MC7000;
90657;7229;2;-0,332362;n.a;1,3197;120;0,78595;49,9059;0,77325;0,0638;0,0659;1663,53;1659,66;1658;16597;16598;8290;0,1;0,2;0;49,74;0;17/04/2023 15:38:54;17/04/2023 15:41:00;0,07873;0,083784;18,725;18,725;18,725;19,076;18,969;19,022;0;0;2;0;0;0;2,35745;2,36794;-0,28462;-0,0284722;2197,4;538;0;0;5;1;0;10022;0;0;2023.PROT01.MC7000;
90658;7229;2;-0,125397;n.a;1,3197;120;0,78595;49,5621;0,235689;0,0629;0,065;1652,07;1648,26;1650;16481;16465;8250;0,1;0,2;0;49,5;0;17/04/2023 15:41:10;17/04/2023 15:43:18;0,075118;0,083261;18,725;18,725;18,725;18,969;18,862;18,916;0;0;2;0;0;0;2,35745;2,36794;0,255508;-0,28462;3846,2;2197,4;0;0;5;1;0;10022;0;0;2023.PROT01.MC7000;
90659;7229;2;-0,377006;n.a;1,3197;120;0,78595;50,651;0,283548;0,0644;0,0666;1688,37;1684,45;1682;16857;16825;8410;0,1;0,2;0;50,46;0;17/04/2023 15:44:33;17/04/2023 15:46:39;0,079217;0,081743;18,618;18,618;18,618;18,969;18,969;18,969;0;0;2;0;0;0;2,35745;2,36794;-0,28178;-0,0300383;2230,6;546,4;0;0;5;1;0;10022;0;0;2023.PROT01.MC7000;
90660;7229;3;-0,635415;n.a;1,3197;120;0,392975;25,3008;0,0346169;0,043;0,0455;843,359;841,395;838;16825;16878;8380;0,05;0,1;0;25,14;0;17/04/2023 15:49:25;17/04/2023 15:51:31;0,07859;0,081113;18,511;18,404;18,458;19,076;18,969;19,022;0;0;3;0;0;0;2,35745;2,36794;-0,225949;-0,0305653;1390,4;549,2;0;0;5;3;0;10022;0;0;2023.PROT01.MC7000;
90661;7229;3;-0,273989;n.a;1,3197;120;0,392975;25,2963;0,0582532;0,043;0,0455;843,21;841,256;840,9;16830;16879;8409;0,05;0,1;0;25,227;0;17/04/2023 15:51:41;17/04/2023 15:53:47;0,077315;0,081424;18,511;18,511;18,511;18,969;18,969;18,969;0;0;3;0;0;0;2,35745;2,36794;-0,281688;-0,225949;2231,6;1390,4;0;0;5;3;0;10022;0;0;2023.PROT01.MC7000;
90662;7229;3;-0,45553;n.a;1,3197;120;0,392975;25,3123;0,0403093;0,0431;0,0455;843,744;841,788;839,9;16827;16881;8399;0,05;0,1;0;25,197;0;17/04/2023 15:53:57;17/04/2023 15:56:03;0,077622;0,081418;18,511;18,618;18,564;18,969;18,969;18,969;0;0;3;0;0;0;2,35745;2,36794;-0,0696366;-0,281688;3073,6;2231,6;0;0;5;3;0;10022;0;0;2023.PROT01.MC7000;
90663;7229;4;-2,62002;n.a;1,3197;120;0,078595;4,99322;0,0474993;0,0464;0,0491;166,441;166,053;162,08;16646;0;8104;0,01;0,02;0;4,8624;0;17/04/2023 15:59:15;17/04/2023 16:01:21;0,070433;0,068092;18,511;18,618;18,564;19,076;18,969;19,022;0;0;4;0;0;0;2,35745;2,36794;0,0237414;-0,00295382;217,9;51,82;0;0;6;3;0;10022;0;0;2023.PROT01.MC7000;
90664;7229;4;-1,12096;n.a;1,3197;120;0,078595;4,99883;0,080892;0,0465;0,0491;166,628;166,243;164,76;16649;0;8238;0,01;0,02;0;4,9428;0;17/04/2023 16:01:32;17/04/2023 16:03:38;0,075897;0,066084;18,511;18,618;18,564;18,969;18,862;18,916;0;0;4;0;0;0;2,35745;2,36794;0,0204218;0,0237414;384,14;217,9;0;0;6;3;0;10022;0;0;2023.PROT01.MC7000;
90665;7229;4;-0,805297;n.a;1,3197;120;0,078595;4,99563;0,0432248;0,0464;0,0491;166,521;166,133;165,18;16649;0;8259;0,01;0,02;0;4,9554;0;17/04/2023 16:05:15;17/04/2023 16:07:22;0,073501;0,064231;18,511;18,511;18,511;18,969;19,076;19,022;0;0;4;0;0;0;2,35745;2,36794;0,0237454;-0,0029555;217,96;51,8;0;0;6;3;0;10022;0;0;2023.PROT01.MC7000;
90666;7229;5;-5,95193;n.a;1,3197;120;0,031438;1,9987;0,102718;0,0485;0,0511;66,6234;66,4689;62,658;16649;0;6962;0,004;0,009;0;1,87974;0;17/04/2023 16:11:04;17/04/2023 16:13:10;0,072477;0,062485;18,511;18,511;18,511;18,969;18,969;18,969;0;0;4;0;0;0;2,35745;2,36794;0,00800956;-0,00303877;117,26;50,78;0;0;6;3;0;10022;0;0;2023.PROT01.MC7000;
90667;7229;5;-0,145426;n.a;1,3197;120;0,031438;1,99929;0,112969;0,0485;0,0511;66,6429;66,4878;66,546;16652;0;7394;0,004;0,009;0;1,99638;0;17/04/2023 16:13:20;17/04/2023 16:15:26;0,071801;0,063822;18,511;18,511;18,511;18,969;19,076;19,022;0;0;4;0;0;0;2,35745;2,36794;0,0202352;0,00800956;183,76;117,26;0;0;6;3;0;10022;0;0;2023.PROT01.MC7000;
