ID_M;ID_C;P;Ev /%;Eq /%;KA;Durata /s ;V_REF / m/s ;Q_Ref;s(Q_Ref);P_liq_M / MPa;P_liq_V / MPa;V_REF / dm3;P_REF / kg;V_Test / dm3;Np_Ref;Np_Ref_A;Np_Test;Vp_Ref / dm3;Vp_Test /dm3;V_test / m/s;Q_Test / m3/h;s(Q_Test);start_time;stop_time;T_tcb /s;T_tbc /s;T_Air_s /°C;T_Air_f /°C;T_Air_M /°C;T_Liq_s /°C;T_Liq_f /°C;T_Liq_M /°C;P_Air_s  /mbar;P_Air_f  /mbar;REF_Q;S_ErrC2;S_flag;SE_flag;C_MxA /dm3;C_Mx  /dm3;C_B_F  /kg;C_B_S  /kg;P_B_F  / kg;P_B_S /kg;T_V;T_M;REF_M;PSel;ERR_Code;S_ErrC1;mA/ V / hz;s(T_liq);REF;
125493;9881;1;-0,236518;n.a;0,6406;120;5,97322;379,47;0,231993;0,1061;0,0788;12684;0;12654;12684;12832;6327;1;2;0;379,62;0;31/07/1990 05:16:48;31/07/1990 05:18:48;0;0;22,676;22,75;22,713;17,625;17,625;17,625;0;0;1;10001;4;0;0;0;0,0238622;-0,00299194;284,44;31,84;0;0;1;1;0;10022;0;0;2025.R7K00272.R7K00272;
125494;9881;1;0,165811;n.a;0,6406;120;5,97322;379,996;0,180027;0,1063;0,078;12665;0;12686;12665;12844;6343;1;2;0;380,58;0;31/07/1990 05:18:54;31/07/1990 05:20:55;0;0;22,745;22,82;22,782;17,625;17,75;17,688;0;0;1;10001;4;0;0;0;0,0238622;-0,00299194;284,44;31,84;0;0;1;1;0;10022;0;0;2025.R7K00272.R7K00272;
125495;9881;2;-0,0237649;n.a;0,6406;250;0,167675;10,6549;0,0259297;0,0409;0,0408;739,926;738,373;739,75;29607;0;14795;0,025;0,05;0;10,6524;0;31/07/1990 05:23:50;31/07/1990 05:28:06;0,084299;0,09293;22,753;22,868;22,81;17,875;17,75;17,812;0;0;4;0;0;0;0;0;-0,200719;-0,0276242;1271,6;533,4;0;0;5;3;0;10022;0;0;2025.R7K00272.R7K00272;
125496;9881;2;-0,0994907;n.a;0,6406;250;0,167675;10,6565;0,0253004;0,0409;0,0407;740,036;738,492;739,3;29606;0;14786;0,025;0,05;0;10,6459;0;31/07/1990 05:28:17;31/07/1990 05:32:33;0,081632;0,093145;22,872;22,964;22,918;17,75;17,75;17,75;0;0;4;0;0;0;0;0;-0,292265;-0,200719;2010;1271,6;0;0;5;3;0;10022;0;0;2025.R7K00272.R7K00272;
125497;9881;3;-0,177168;n.a;0,6406;220;0,104799;6,66166;0,055166;0,023;0,0226;407,101;406,252;406,38;27133;0;13546;0,015;0,03;0;6,64985;0;31/07/1990 05:38:43;31/07/1990 05:42:29;0,069972;0,079536;22,866;22,949;22,908;17,75;17,75;17,75;0;0;4;0;0;0;0;0;0,0458661;-0,00258714;462,12;55,82;0;0;6;3;0;10022;0;0;2025.R7K00272.R7K00272;
125498;9881;3;0,292783;n.a;0,6406;220;0,104799;6,6603;0,0448707;0,0229;0,0226;407,018;406,173;408,21;27132;0;13607;0,015;0,03;0;6,6798;0;31/07/1990 05:43:56;31/07/1990 05:47:42;0,072554;0,079138;22,948;22,959;22,954;17,75;17,625;17,688;0;0;4;0;0;0;0;0;0,0437856;-0,00287503;458,96;52,74;0;0;6;3;0;10022;0;0;2025.R7K00272.R7K00272;
125499;9881;4;0,0010989;n.a;0,6406;250;0,0528159;3,35919;0,0700766;0,0388;0,0388;233,277;232,793;233,28;23324;0;11664;0,01;0,02;0;3,35923;0;31/07/1990 05:51:30;31/07/1990 05:55:47;0,073171;0,075534;22,984;22,881;22,932;17,625;17,75;17,688;0;0;4;0;0;0;0;0;0,0238796;-0,00299848;284,1;51,28;0;0;6;3;0;10022;0;0;2025.R7K00272.R7K00272;
125500;9881;4;0,23258;n.a;0,6406;250;0,0528159;3,35919;0,082066;0,0388;0,0387;233,277;232,793;233,82;23324;0;11691;0,01;0,02;0;3,36701;0;31/07/1990 05:57:08;31/07/1990 06:01:23;0,074104;0,075544;22,917;22,976;22,946;17,75;17,625;17,688;0;0;4;0;0;0;0;0;0,0238766;-0,00299358;284,16;51,34;0;0;6;3;0;10022;0;0;2025.R7K00272.R7K00272;
