ID_M;ID_C;P;Ev /%;Eq /%;KA;Durata /s ;V_REF / m/s ;Q_Ref;s(Q_Ref);P_liq_M / MPa;P_liq_V / MPa;V_REF / dm3;P_REF / kg;V_Test / dm3;Np_Ref;Np_Ref_A;Np_Test;Vp_Ref / dm3;Vp_Test /dm3;V_test / m/s;Q_Test / m3/h;s(Q_Test);start_time;stop_time;T_tcb /s;T_tbc /s;T_Air_s /°C;T_Air_f /°C;T_Air_M /°C;T_Liq_s /°C;T_Liq_f /°C;T_Liq_M /°C;P_Air_s  /mbar;P_Air_f  /mbar;REF_Q;S_ErrC2;S_flag;SE_flag;C_MxA /dm3;C_Mx  /dm3;C_B_F  /kg;C_B_S  /kg;P_B_F  / kg;P_B_S /kg;T_V;T_M;REF_M;PSel;ERR_Code;S_ErrC1;mA/ V / hz;s(T_liq);REF;
125389;9873;1;-0,252048;n.a;0,6406;120;5,97322;379,916;0,184414;0,1062;0,0786;12696;0;12664;12696;12836;6332;1;2;0;379,92;0;26/07/1990 05:39:44;26/07/1990 05:41:44;0;0;22,31;22,172;22,241;17;17,125;17,062;0;0;1;10002;8;0;0;0;0,0238735;-0,00299358;284,22;37,46;0;0;1;1;0;10022;0;0;2025.R7K00272.R7K00272;
125390;9873;1;-0,0157878;n.a;0,6406;120;5,97322;379,937;0,161128;0,1063;0,079;12668;0;12666;12668;12844;6333;1;2;0;379,98;0;26/07/1990 05:41:50;26/07/1990 05:43:51;0;0;22,163;22,235;22,199;17,125;17,125;17,125;0;0;1;10002;8;0;0;0;0,0238735;-0,00299358;284,22;37,46;0;0;1;1;0;10022;0;0;2025.R7K00272.R7K00272;
125391;9873;1;-0,0631413;n.a;0,6406;120;5,97322;380,008;0,19586;0,1074;0,0804;12670;0;12662;12670;12835;6331;1;2;0;379,86;0;26/07/1990 05:43:56;26/07/1990 05:45:57;0;0;22,244;22,155;22,2;17,125;17,25;17,188;0;0;1;10002;8;0;0;0;0,0238735;-0,00299358;284,22;37,46;0;0;1;1;0;10022;0;0;2025.R7K00272.R7K00272;
125392;9873;2;-0,112708;n.a;0,6406;250;0,167675;10,6514;0,0251141;0,0415;0,0413;739,684;738,173;738,85;29606;0;14777;0,025;0,05;0;10,6394;0;26/07/1990 05:49:35;26/07/1990 05:53:51;0,083699;0,093229;22,176;22,151;22,164;17,5;17,5;17,5;0;0;4;0;0;0;0;0;-0,201345;-0,0281765;1274,4;536,4;0;0;5;3;0;10022;0;0;2025.R7K00272.R7K00272;
125393;9873;2;0,0075202;n.a;0,6406;250;0,167675;10,6588;0,0210614;0,0414;0,0412;740,194;738,691;740,25;29606;0;14805;0,025;0,05;0;10,6596;0;26/07/1990 05:54:01;26/07/1990 05:58:17;0,075486;0,093234;22,171;22,179;22,175;17,5;17,375;17,438;0;0;4;0;0;0;0;0;-0,292253;-0,201345;2013;1274,4;0;0;5;3;0;10022;0;0;2025.R7K00272.R7K00272;
125394;9873;2;-0,213843;n.a;0,6406;250;0,167675;10,6557;0,0312498;0,0414;0,0412;739,982;738,488;738,4;29607;0;14768;0,025;0,05;0;10,633;0;26/07/1990 05:58:27;26/07/1990 06:02:43;0,083587;0,093885;22,173;22,133;22,153;17,375;17,375;17,375;0;0;4;0;0;0;0;0;-0,179853;-0,292253;2751,6;2013;0;0;5;3;0;10022;0;0;2025.R7K00272.R7K00272;
125395;9873;3;-0,354764;n.a;0,6406;220;0,104799;6,66023;0,0316315;0,0248;0,0247;407,014;406,192;405,57;27130;0;13519;0,015;0,03;0;6,6366;0;26/07/1990 06:06:30;26/07/1990 06:10:15;0,06787;0,079666;22,171;22,323;22,247;17,375;17,375;17,375;0;0;4;0;0;0;0;0;0,0455426;-0,00262854;461,64;55,4;0;0;6;3;0;10022;0;0;2025.R7K00272.R7K00272;
125396;9873;3;-0,0578659;n.a;0,6406;220;0,104799;6,66058;0,0311528;0,0247;0,0247;407,036;406,213;406,8;27129;0;13560;0,015;0,03;0;6,65673;0;26/07/1990 06:11:42;26/07/1990 06:15:28;0,074875;0,079487;22,244;22,181;22,212;17,375;17,375;17,375;0;0;4;0;0;0;0;0;0,0437089;-0,00288897;458,84;52,58;0;0;6;3;0;10022;0;0;2025.R7K00272.R7K00272;
125397;9873;3;-0,224825;n.a;0,6406;220;0,104799;6,66779;0,437628;0,0248;0,0247;407,476;406,653;406,56;27174;0;13552;0,015;0,03;0;6,6528;0;26/07/1990 06:16:52;26/07/1990 06:20:38;0,074714;0,079123;22,134;22,206;22,17;17,375;17,375;17,375;0;0;4;0;0;0;0;0;0,044004;-0,00288724;459,3;52,6;0;0;6;3;0;10022;0;0;2025.R7K00272.R7K00272;
125398;9873;4;0,461098;n.a;0,6406;250;0,0528159;3,35929;0,0846989;0,0394;0,0393;233,284;232,813;234,36;23325;0;11718;0,01;0,02;0;3,37478;0;26/07/1990 06:24:11;26/07/1990 06:28:26;0,074491;0,078497;22,148;22,342;22,245;17,375;17,375;17,375;0;0;4;0;0;0;0;0;0,0238725;-0,00298866;284,24;51,4;0;0;6;3;0;10022;0;0;2025.R7K00272.R7K00272;
