ID_M;ID_C;P;Ev /%;Eq /%;KA;Durata /s ;V_REF / m/s ;Q_Ref;s(Q_Ref);P_liq_M / MPa;P_liq_V / MPa;V_REF / dm3;P_REF / kg;V_Test / dm3;Np_Ref;Np_Ref_A;Np_Test;Vp_Ref / dm3;Vp_Test /dm3;V_test / m/s;Q_Test / m3/h;s(Q_Test);start_time;stop_time;T_tcb /s;T_tbc /s;T_Air_s /°C;T_Air_f /°C;T_Air_M /°C;T_Liq_s /°C;T_Liq_f /°C;T_Liq_M /°C;P_Air_s  /mbar;P_Air_f  /mbar;REF_Q;S_ErrC2;S_flag;SE_flag;C_MxA /dm3;C_Mx  /dm3;C_B_F  /kg;C_B_S  /kg;P_B_F  / kg;P_B_S /kg;T_V;T_M;REF_M;PSel;ERR_Code;S_ErrC1;mA/ V / hz;s(T_liq);REF;
125102;9849;1;-0,142113;n.a;0,6663;120;5,97322;379,888;0,205977;0,0976;0,0707;12666;0;12648;12666;12838;6324;1;2;0;379,44;0;18/07/1990 00:14:26;18/07/1990 00:16:27;0;0;18,629;18,669;18,649;18,5;18,5;18,5;0;0;1;10001;4;0;0,880161;0,884254;0,0239578;-0,00296385;282,54;-0,24;0;0;1;1;0;10022;0;0;2025.R7K00185.R7K00185;
125103;9849;1;-0,094697;n.a;0,6663;120;5,97322;380,013;0,166297;0,0981;0,0711;12672;0;12660;12672;12840;6330;1;2;0;379,8;0;18/07/1990 00:16:32;18/07/1990 00:18:33;0;0;18,672;18,737;18,704;18,5;18,5;18,5;0;0;1;10001;4;0;0,880161;0,884254;0,0239578;-0,00296385;282,54;-0,24;0;0;1;1;0;10022;0;0;2025.R7K00185.R7K00185;
125104;9849;1;-0,0710283;n.a;0,6663;120;5,97322;380,03;0,221027;0,0978;0,0715;12671;0;12662;12671;12838;6331;1;2;0;379,86;0;18/07/1990 00:18:38;18/07/1990 00:20:39;0;0;18,628;18,86;18,744;18,625;18,625;18,625;0;0;1;10001;4;0;0,880161;0,884254;0,0239578;-0,00296385;282,54;-0,24;0;0;1;1;0;10022;0;0;2025.R7K00185.R7K00185;
125105;9849;2;-0,348731;n.a;0,6663;250;0,16767;10,6536;0,0228662;0,0451;0,0446;739,83;738,173;737,25;29609;0;14745;0,025;0,05;0;10,6164;0;18/07/1990 00:24:35;18/07/1990 00:28:52;0,083593;0,091345;18,768;18,678;18,723;18,625;18,5;18,562;0;0;4;0;0;0;0,880161;0,884254;-0,203258;-0,0297757;1283;545;0;0;5;3;0;10022;0;0;2025.R7K00185.R7K00185;
125106;9849;2;-0,241498;n.a;0,6663;250;0,16767;10,6609;0,0225221;0,0451;0,0447;740,338;738,689;738,55;29611;0;14771;0,025;0,05;0;10,6351;0;18/07/1990 00:29:02;18/07/1990 00:33:18;0,070056;0,091758;18,696;18,863;18,78;18,5;18,5;18,5;0;0;4;0;0;0;0,880161;0,884254;-0,292201;-0,203258;2021,6;1283;0;0;5;3;0;10022;0;0;2025.R7K00185.R7K00185;
125107;9849;2;-0,322026;n.a;0,6663;250;0,16767;10,6579;0,0231538;0,0452;0,0447;740,133;738,485;737,75;29611;0;14755;0,025;0,05;0;10,6236;0;18/07/1990 00:33:28;18/07/1990 00:37:44;0,08328;0,0922;18,841;18,821;18,831;18,5;18,5;18,5;0;0;4;0;0;0;0,880161;0,884254;-0,177322;-0,292201;2760,2;2021,6;0;0;5;3;0;10022;0;0;2025.R7K00185.R7K00185;
125108;9849;3;-0,483819;n.a;0,6663;220;0,104793;6,66393;0,0384436;0,0425;0,042;407,24;406,333;405,27;27137;0;13509;0,015;0,03;0;6,63169;0;18/07/1990 00:40:41;18/07/1990 00:44:28;0,057195;0,077562;18,864;18,769;18,816;18,5;18,5;18,5;0;0;4;0;0;0;0,880161;0,884254;0,0438369;-0,00288201;459,04;52,66;0;0;6;3;0;10022;0;0;2025.R7K00185.R7K00185;
125109;9849;3;0,0698726;n.a;0,6663;220;0,104793;6,66385;0,0381184;0,0424;0,042;407,235;406,333;407,52;27141;0;13584;0,015;0,03;0;6,66851;0;18/07/1990 00:46:00;18/07/1990 00:49:46;0,075908;0,078457;18,857;18,781;18,819;18,375;18,5;18,438;0;0;4;0;0;0;0,880161;0,884254;0,0438111;-0,0028855;459;52,62;0;0;6;3;0;10022;0;0;2025.R7K00185.R7K00185;
125110;9849;3;-0,286125;n.a;0,6663;220;0,104793;6,66746;0,307479;0,0426;0,0422;407,456;406,553;406,29;27163;0;13543;0,015;0,03;0;6,64838;0;18/07/1990 00:51:18;18/07/1990 00:55:04;0,075777;0,077402;18,829;18,759;18,794;18,375;18,5;18,438;0;0;4;0;0;0;0,880161;0,884254;0,0439653;-0,00288375;459,24;52,64;0;0;6;3;0;10022;0;0;2025.R7K00185.R7K00185;
