ID_M;ID_C;P;Ev /%;Eq /%;KA;Durata /s ;V_REF / m/s ;Q_Ref;s(Q_Ref);P_liq_M / MPa;P_liq_V / MPa;V_REF / dm3;P_REF / kg;V_Test / dm3;Np_Ref;Np_Ref_A;Np_Test;Vp_Ref / dm3;Vp_Test /dm3;V_test / m/s;Q_Test / m3/h;s(Q_Test);start_time;stop_time;T_tcb /s;T_tbc /s;T_Air_s /°C;T_Air_f /°C;T_Air_M /°C;T_Liq_s /°C;T_Liq_f /°C;T_Liq_M /°C;P_Air_s  /mbar;P_Air_f  /mbar;REF_Q;S_ErrC2;S_flag;SE_flag;C_MxA /dm3;C_Mx  /dm3;C_B_F  /kg;C_B_S  /kg;P_B_F  / kg;P_B_S /kg;T_V;T_M;REF_M;PSel;ERR_Code;S_ErrC1;mA/ V / hz;s(T_liq);REF;
125370;9872;1;-6,4664;0;0,6;120;5,97322;379,173;0,314073;0,1043;0,0769;12650;0;11832;12650;12818;5916;1;2;0;354,96;0;26/07/1990 02:04:31;26/07/1990 02:06:32;0;0;21,569;21,56;21,564;17,875;18;17,938;0;0;1;10001;4;0;0;0;0,0238766;-0,00299194;284,16;36,9;0;0;1;1;0;10022;0;0;2025.R7K00270.R7K00270;
125371;9872;1;-6,44983;0;0,6;120;5,97322;379,924;0,216768;0,1061;0,0782;12667;0;11850;12667;12842;5925;1;2;0;355,5;0;26/07/1990 02:06:37;26/07/1990 02:08:38;0;0;21,552;21,608;21,58;18;18;18;0;0;1;10001;4;0;0;0;0,0238766;-0,00299194;284,16;36,9;0;0;1;1;0;10022;0;0;2025.R7K00270.R7K00270;
125372;9872;1;-6,43303;0;0,6;120;5,97322;379,958;0,202132;0,1049;0,0772;12669;0;11854;12669;12847;5927;1;2;0;355,62;0;26/07/1990 02:08:43;26/07/1990 02:10:44;0;0;21,606;21,535;21,57;18;18,125;18,062;0;0;1;10001;4;0;0;0;0,0238766;-0,00299194;284,16;36,9;0;0;1;1;0;10022;0;0;2025.R7K00270.R7K00270;
125373;9872;1;0,0947269;0;0,641367;120;5,97322;380,017;0,206078;0,1055;0,0785;12668;0;12680;12668;12841;6340;1;2;0;380,4;0;26/07/1990 02:10:57;26/07/1990 02:12:58;0;0;21,53;21,598;21,564;18,125;18,125;18,125;0;0;1;10002;8;0;0;0;0,0238766;-0,00299194;284,16;36,9;0;0;1;1;0;10022;0;0;2025.R7K00270.R7K00270;
125374;9872;1;0,0236798;0;0,641367;120;5,97322;380,018;0,178977;0,1057;0,0785;12669;0;12672;12669;12845;6336;1;2;0;380,16;0;26/07/1990 02:13:02;26/07/1990 02:15:03;0;0;21,616;21,543;21,58;18,125;18,25;18,188;0;0;1;10002;8;0;0;0;0,0238766;-0,00299194;284,16;36,9;0;0;1;1;0;10022;0;0;2025.R7K00270.R7K00270;
125375;9872;1;0;0;0,641367;120;5,97322;380;0,157041;0,1059;0,0792;12670;0;12670;12670;12843;6335;1;2;0;380,1;0;26/07/1990 02:15:09;26/07/1990 02:17:10;0;0;21,562;21,6;21,581;18,25;18,25;18,25;0;0;1;10002;8;0;0;0;0,0238766;-0,00299194;284,16;36,9;0;0;1;1;0;10022;0;0;2025.R7K00270.R7K00270;
125376;9872;2;-0,257262;0;0,641367;250;0,167675;10,6561;0,0221275;0,041;0,0408;740,004;738,373;738,1;29606;0;14762;0,025;0,05;0;10,6286;0;26/07/1990 02:20:32;26/07/1990 02:24:49;0,083826;0,093335;21,572;21,662;21,617;18,375;18,375;18,375;0;0;4;0;0;0;0;0;-0,201925;-0,0286204;1277;538,8;0;0;5;3;0;10022;0;0;2025.R7K00270.R7K00270;
125377;9872;2;-0,352961;0;0,641367;250;0,167675;10,6576;0,0244186;0,041;0,0408;740,112;738,49;737,5;29608;0;14750;0,025;0,05;0;10,62;0;26/07/1990 02:24:59;26/07/1990 02:29:14;0,07691;0,093359;21,538;21,538;21,538;18,375;18,25;18,312;0;0;4;0;0;0;0;0;-0,292241;-0,201925;2015,4;1277;0;0;5;3;0;10022;0;0;2025.R7K00270.R7K00270;
125378;9872;2;-0,336666;0;0,641367;250;0,167675;10,6573;0,0233494;0,041;0,0408;740,092;738,487;737,6;29608;0;14752;0,025;0,05;0;10,6214;0;26/07/1990 02:29:25;26/07/1990 02:33:41;0,083961;0,094131;21,536;21,732;21,634;18,25;18,125;18,188;0;0;4;0;0;0;0;0;-0,179149;-0,292241;2754;2015,4;0;0;5;3;0;10022;0;0;2025.R7K00270.R7K00270;
125379;9872;3;-0,544095;0;0,641367;220;0,104799;6,65958;0,166526;0,0281;0,0279;406,974;406,092;404,76;27119;0;13492;0,015;0,03;0;6,62334;0;26/07/1990 02:37:02;26/07/1990 02:40:48;0,069097;0,07753;21,543;21,71;21,626;18,125;18,25;18,188;0;0;4;0;0;0;0;0;0,0455025;-0,00262462;461,58;55,44;0;0;6;3;0;10022;0;0;2025.R7K00270.R7K00270;
