ID_M;ID_C;P;Ev /%;Eq /%;KA;Durata /s ;V_REF / m/s ;Q_Ref;s(Q_Ref);P_liq_M / MPa;P_liq_V / MPa;V_REF / dm3;P_REF / kg;V_Test / dm3;Np_Ref;Np_Ref_A;Np_Test;Vp_Ref / dm3;Vp_Test /dm3;V_test / m/s;Q_Test / m3/h;s(Q_Test);start_time;stop_time;T_tcb /s;T_tbc /s;T_Air_s /°C;T_Air_f /°C;T_Air_M /°C;T_Liq_s /°C;T_Liq_f /°C;T_Liq_M /°C;P_Air_s  /mbar;P_Air_f  /mbar;REF_Q;S_ErrC2;S_flag;SE_flag;C_MxA /dm3;C_Mx  /dm3;C_B_F  /kg;C_B_S  /kg;P_B_F  / kg;P_B_S /kg;T_V;T_M;REF_M;PSel;ERR_Code;S_ErrC1;mA/ V / hz;s(T_liq);REF;
125402;9874;1;-0,11868;n.a;0,6414;120;5,97322;379,057;0,298408;0,1054;0,0271;12639;0;12624;12639;12803;6312;1;2;0;378,72;0;26/07/1990 07:39:31;26/07/1990 07:41:32;0;0;22,249;22,11;22,18;16,75;16,875;16,812;0;0;1;10001;4;0;0;0;0,0238694;-0,00298702;284,3;-0,14;0;0;1;1;0;10022;0;0;2025.R7K00270.R7K00270;
125403;9874;1;0,182092;n.a;0,6414;120;5,97322;379,908;0,200828;0,107;0,023;12631;0;12654;12631;12839;6327;1;2;0;379,62;0;26/07/1990 07:41:37;26/07/1990 07:43:38;0;0;22,103;22,183;22,143;16,875;17;16,938;0;0;1;10001;4;0;0;0;0,0238694;-0,00298702;284,3;-0,14;0;0;1;1;0;10022;0;0;2025.R7K00270.R7K00270;
125404;9874;1;-0,283822;n.a;0,6414;120;5,97322;380,071;0,187852;0,1077;0,0187;12684;0;12648;12684;12842;6324;1;2;0;379,44;0;26/07/1990 07:43:43;26/07/1990 07:45:44;0;0;22,179;22,092;22,136;17;17;17;0;0;1;10001;4;0;0;0;0,0238694;-0,00298702;284,3;-0,14;0;0;1;1;0;10022;0;0;2025.R7K00270.R7K00270;
125405;9874;2;-0,315537;n.a;0,6414;250;0,167675;10,6565;0,0219962;0,0414;0,0049;740,035;738,573;737,7;29607;0;14754;0,025;0,05;0;10,6229;0;26/07/1990 07:49:25;26/07/1990 07:53:41;0,083962;0,093523;22,222;22,123;22,172;17,125;17,125;17,125;0;0;4;0;0;0;0;0;-0,200406;-0,0273309;1270,2;531,8;0;0;5;3;0;10022;0;0;2025.R7K00270.R7K00270;
125406;9874;2;-0,0543166;n.a;0,6414;250;0,167675;10,6553;0,0249071;0,0414;0,0112;739,952;738,373;739,55;29608;0;14791;0,025;0,05;0;10,6495;0;29/07/1990 22:43:23;29/07/1990 22:47:39;0,077141;0,093678;20,7;20,669;20,684;18;18;18;0;0;4;0;0;0;0;0;-0,202815;-0,0293643;1281;542,8;0;0;5;3;0;10022;0;0;2025.R7K00270.R7K00270;
125407;9874;2;0,044832;n.a;0,6414;250;0,167675;10,657;0,0270207;0,0414;0,0105;740,068;738,49;740,4;29608;0;14808;0,025;0,05;0;10,6618;0;29/07/1990 22:47:49;29/07/1990 22:52:05;0,06982;0,093714;20,65;20,702;20,676;18;18;18;0;0;4;0;0;0;0;0;-0,292217;-0,202815;2019,4;1281;0;0;5;3;0;10022;0;0;2025.R7K00270.R7K00270;
125408;9874;3;0,125457;n.a;0,6414;220;0,104799;6,66211;0,0440898;0,0229;0,0051;407,129;406,251;407,64;27134;0;13588;0,015;0,03;0;6,67047;0;29/07/1990 22:56:32;29/07/1990 23:00:18;0,055236;0,079327;20,748;20,866;20,807;18,125;18,125;18,125;0;0;4;0;0;0;0;0;0,0462196;-0,00253498;462,64;56,34;0;0;6;3;0;10022;0;0;2025.R7K00270.R7K00270;
125409;9874;3;-0,342914;n.a;0,6414;220;0,104799;6,6619;0,0415502;0,0228;0,0051;407,116;406,233;405,72;27135;0;13524;0,015;0,03;0;6,63905;0;29/07/1990 23:01:47;29/07/1990 23:05:33;0,073125;0,077702;20,867;20,887;20,877;18,125;18,25;18,188;0;0;4;0;0;0;0;0;0,0438111;-0,00287678;459;52,72;0;0;6;3;0;10022;0;0;2025.R7K00270.R7K00270;
125410;9874;3;0,132265;n.a;0,6414;220;0,104799;6,66656;0,362054;0,0229;0,0051;407,401;406,513;407,94;27166;0;13598;0,015;0,03;0;6,67538;0;29/07/1990 23:07:03;29/07/1990 23:10:49;0,073123;0,07875;20,886;20,967;20,926;18,25;18,25;18,25;0;0;4;0;0;0;0;0;0,0440684;-0,00286626;459,4;52,84;0;0;6;3;0;10022;0;0;2025.R7K00270.R7K00270;
125411;9874;4;-0,277388;n.a;0,6414;250;0,0528159;3,3602;0,07945;0,039;0,0102;233,347;232,833;232,7;23329;0;11635;0,01;0,02;0;3,35088;0;29/07/1990 23:16:04;29/07/1990 23:20:19;0,073679;0,075604;20,879;21,007;20,943;18,375;18,375;18,375;0;0;4;0;0;0;0;0;0,0238796;-0,00300174;284,1;51,24;0;0;6;3;0;10022;0;0;2025.R7K00270.R7K00270;
